task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,9.670711,9563,[2.291891574859619],[0.508622944355011],5050,[2.8899314403533936],[1.5604647397994995],-10.6632595,-10.06522,incorrect,False,-10.6632595,-10.06522,incorrect,False,-10.6632595,-10.06522,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,6.365468,31126,[-5.460683822631836],[-6.073920249938965],8258,[-3.1072044372558594],[-3.4984536170959473],-14.307691,-11.954211,incorrect,False,-14.307691,-11.954211,incorrect,False,-14.307691,-11.954211,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,7.087847,26921,[-4.683125972747803],[-4.110084533691406],6803,[-2.445382595062256],[-2.728105068206787],-13.553196,-11.315453,incorrect,False,-13.553196,-11.315453,incorrect,False,-13.553196,-11.315453,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,7.2152767,23729,[-4.224091529846191],[-0.698188841342926],6174,[-2.0871129035949707],[-3.497904062271118],-13.242373,-11.105394,incorrect,False,-13.242373,-11.105394,incorrect,False,-13.242373,-11.105394,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,7.163274,21550,[-4.031403541564941],[-3.78233003616333],7368,[-2.289952278137207],[0.27844637632369995],-13.167076,-11.425625,incorrect,False,-13.167076,-11.425625,incorrect,False,-13.167076,-11.425625,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,7.352762,25203,[-4.21919059753418],[0.5595719218254089],6991,[-2.0441341400146484],[0.10899209976196289],-13.485687,-11.310631,incorrect,False,-13.485687,-11.310631,incorrect,False,-13.485687,-11.310631,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,7.114008,22748,[-4.131094932556152],[-1.8642081022262573],6511,[-2.0140938758850098],[0.8687441349029541],-13.492628,-11.3756275,incorrect,False,-13.492628,-11.3756275,incorrect,False,-13.492628,-11.3756275,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,6.9727273,23939,[-4.313318729400635],[2.5867984294891357],5729,[-1.8171353340148926],[0.8852881789207458],-13.774787,-11.278604,incorrect,False,-13.774787,-11.278604,incorrect,False,-13.774787,-11.278604,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,6.7546444,18313,[-3.775747060775757],[-1.9521188735961914],4998,[-1.5968573093414307],[-5.406170845031738],-13.4305725,-11.251682,incorrect,False,-13.4305725,-11.251682,incorrect,False,-13.4305725,-11.251682,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,7.1961784,20417,[-3.8023369312286377],[-0.3196178078651428],7961,[-2.1392712593078613],[-2.046231269836426],-13.377888,-11.714822,incorrect,False,-13.377888,-11.714822,incorrect,False,-13.377888,-11.714822,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,7.1054554,18956,[-3.746056079864502],[4.420449733734131],8662,[-2.3438658714294434],[3.668745517730713],-13.273602,-11.871411,incorrect,False,-13.273602,-11.871411,incorrect,False,-13.273602,-11.871411,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,7.145334,14202,[-2.9938230514526367],[0.21859174966812134],6712,[-1.775769591331482],[3.213923931121826],-12.638868,-11.4208145,incorrect,False,-12.638868,-11.4208145,incorrect,False,-12.638868,-11.4208145,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,6.9643455,11046,[-2.670603036880493],[-0.14302942156791687],3856,[-1.0973222255706787],[2.5703818798065186],-12.376888,-10.803608,incorrect,False,-12.376888,-10.803608,incorrect,False,-12.376888,-10.803608,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,6.5852933,9541,[-2.5279834270477295],[2.6565656661987305],2556,[-0.6277077198028564],[1.094823956489563],-12.2583885,-10.358112,incorrect,False,-12.2583885,-10.358112,incorrect,False,-12.2583885,-10.358112,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,6.469063,5748,[-1.755522608757019],[2.483142852783203],2034,[-0.32989993691444397],[6.846041679382324],-11.513612,-10.087989,incorrect,False,-11.513612,-10.087989,incorrect,False,-11.513612,-10.087989,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,6.7443914,4717,[-1.259538173675537],[-0.7826347351074219],898,[0.8750430345535278],[0.5952708721160889],-11.123886,-8.9893055,incorrect,False,-11.123886,-8.9893055,incorrect,False,-11.123886,-8.9893055,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,6.6725974,4714,[-1.3258376121520996],[-0.7893576622009277],790,[0.9374091625213623],[-1.0187594890594482],-11.143648,-8.880402,incorrect,False,-11.143648,-8.880402,incorrect,False,-11.143648,-8.880402,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,6.4342995,4789,[-1.2856910228729248],[-0.7517832517623901],934,[0.831917405128479],[3.9858174324035645],-11.277191,-9.159582,incorrect,False,-11.277191,-9.159582,incorrect,False,-11.277191,-9.159582,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,6.820131,6101,[-1.469313621520996],[0.9091721177101135],561,[1.542475700378418],[4.379119873046875],-11.472606,-8.460816,incorrect,False,-11.472606,-8.460816,incorrect,False,-11.472606,-8.460816,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,6.817323,5320,[-1.2993042469024658],[-1.0455158948898315],303,[2.228097915649414],[2.238626480102539],-11.297972,-7.770569,incorrect,False,-11.297972,-7.770569,incorrect,False,-11.297972,-7.770569,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,6.6880074,6283,[-1.45171058177948],[6.591207981109619],270,[2.4920241832733154],[8.474772453308105],-11.646076,-7.702342,incorrect,False,-11.646076,-7.702342,incorrect,False,-11.646076,-7.702342,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,6.595991,2314,[0.011233776807785034],[0.08530181646347046],68,[3.897402763366699],[-0.08423559367656708],-10.22954,-6.343371,incorrect,False,-10.22954,-6.343371,incorrect,False,-10.22954,-6.343371,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,6.3990655,2228,[-0.12864744663238525],[9.055643081665039],82,[3.4769840240478516],[5.717555046081543],-10.233669,-6.6280375,incorrect,False,-10.233669,-6.6280375,incorrect,False,-10.233669,-6.6280375,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,23,6.52026,744,[1.2314395904541016],[1.030034065246582],54,[3.9796297550201416],[-0.2778976261615753],-8.849013,-6.1008234,incorrect,False,-8.849013,-6.1008234,incorrect,False,-8.849013,-6.1008234,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,24,6.604502,674,[1.251598834991455],[2.478809356689453],67,[3.6023144721984863],[4.1312103271484375],-8.731449,-6.380734,incorrect,False,-8.731449,-6.380734,incorrect,False,-8.731449,-6.380734,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,25,6.6259933,565,[1.4816583395004272],[5.738499164581299],53,[3.884202003479004],[3.9636688232421875],-8.522978,-6.120434,incorrect,False,-8.522978,-6.120434,incorrect,False,-8.522978,-6.120434,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,26,6.4708133,338,[1.9574280977249146],[5.210186004638672],42,[3.966033935546875],[3.664458751678467],-7.985877,-5.977271,incorrect,False,-7.985877,-5.977271,incorrect,False,-7.985877,-5.977271,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,27,6.354327,214,[2.3792026042938232],[6.124551296234131],44,[3.9743988513946533],[5.446786880493164],-7.488336,-5.89314,incorrect,False,-7.488336,-5.89314,incorrect,False,-7.488336,-5.89314,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,28,6.668275,112,[2.852351665496826],[16.069900512695312],25,[4.166863441467285],[10.787612915039062],-6.852163,-5.537651,incorrect,False,-6.852163,-5.537651,incorrect,False,-6.852163,-5.537651,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,29,6.5955763,18,[4.7439985275268555],[11.235788345336914],11,[5.18472957611084],[6.842828273773193],-4.971505,-4.530774,incorrect,False,-4.971505,-4.530774,incorrect,False,-4.971505,-4.530774,incorrect,False
