task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,10.142483,27849,[2.0470361709594727],[2.295966148376465],22196,"[2.368986129760742, 7.280012130737305]","[0.9604986906051636, 5.846872329711914]",-11.641043,-8.974744,incorrect,False,-11.641043,-17.949488,correct,True,-11.641043,-11.319093,incorrect,False,10.140825,31924,[0.6951836347579956],[1.686651349067688],27049,"[0.956788957118988, 8.604362487792969]","[0.7376083135604858, 5.549344062805176]",-11.860079,-8.562384,incorrect,False,-11.860079,-17.124767,correct,True,-11.860079,-11.5984745,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,7.2854376,3424,[-1.9851750135421753],[-2.3259265422821045],22154,"[-4.491808891296387, 4.796968460083008]","[-4.987044334411621, 3.234346389770508]",-10.487461,-8.844875,incorrect,False,-10.487461,-17.68975,correct,True,-10.487461,-12.994095,correct,True,6.9193025,8002,[-3.0460562705993652],[-3.8288700580596924],33825,"[-5.502483367919922, 5.724498748779297]","[-6.658786296844482, 2.883758306503296]",-11.715801,-8.918766,incorrect,False,-11.715801,-17.837532,correct,True,-11.715801,-14.172228,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,7.974978,2500,[-1.4477499723434448],[-1.1839410066604614],19481,"[-3.971524715423584, 6.463796615600586]","[-4.504697799682617, 6.56529426574707]",-9.890705,-7.8618374,incorrect,False,-9.890705,-15.723675,correct,True,-9.890705,-12.41448,correct,True,8.297803,7881,[-2.3890774250030518],[-4.181144714355469],30861,"[-4.561014652252197, 6.794988632202148]","[-4.720859050750732, 6.7494425773620605]",-11.06377,-8.034541,incorrect,False,-11.06377,-16.069082,correct,True,-11.06377,-13.235706,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,8.223236,2490,[-1.1803241968154907],[-0.2686701714992523],20882,"[-3.8475396633148193, 7.701287269592285]","[-0.06087064743041992, 6.6716389656066895]",-9.774572,-7.4617653,incorrect,False,-9.774572,-14.923531,correct,True,-9.774572,-12.441789,correct,True,8.833637,13975,[-2.492370128631592],[-0.07993173599243164],33309,"[-4.22996187210083, 8.00619125366211]","[-1.897117257118225, 7.704333305358887]",-11.582402,-7.592926,incorrect,False,-11.582402,-15.185852,correct,True,-11.582402,-13.319993,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,8.283363,2640,[-1.04927396774292],[1.8358445167541504],21144,"[-3.760704517364502, 8.751534461975098]","[5.057562351226807, 2.254617691040039]",-9.794996,-7.129065,incorrect,False,-9.794996,-14.25813,correct,True,-9.794996,-12.506427,correct,True,9.007863,11503,[-1.8437786102294922],[-2.235832691192627],29070,"[-3.5120556354522705, 9.089395523071289]","[-2.1489806175231934, 3.6287519931793213]",-11.250786,-6.997545,incorrect,False,-11.250786,-13.99509,correct,True,-11.250786,-12.919062,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.159492,2350,[-0.7177018523216248],[3.5844292640686035],14099,"[-2.9950554370880127, 8.704391479492188]","[1.819145917892456, 2.8958334922790527]",-9.669491,-6.808216,incorrect,False,-9.669491,-13.616432,correct,True,-9.669491,-11.946844,correct,True,8.634562,18131,[-1.9644445180892944],[1.2547216415405273],30545,"[-3.1064963340759277, 9.170692443847656]","[1.1870341300964355, 5.224637985229492]",-12.305655,-7.196028,incorrect,False,-12.305655,-14.392056,correct,True,-12.305655,-13.447706,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,8.166638,1465,[-0.03599522262811661],[2.8434689044952393],11492,"[-2.5850093364715576, 8.64992618560791]","[0.6740080118179321, 1.0526423454284668]",-9.161864,-6.712507,incorrect,False,-9.161864,-13.425014,correct,True,-9.161864,-11.710878,correct,True,9.297649,17037,[-0.879827082157135],[0.8080761432647705],27372,"[-1.7155873775482178, 9.357410430908203]","[0.0616593062877655, 5.465970039367676]",-11.644291,-6.6705956,incorrect,False,-11.644291,-13.341191,correct,True,-11.644291,-12.480052,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,8.168371,1078,[0.5107986330986023],[2.1017446517944336],10886,"[-2.4047014713287354, 8.411575317382812]","[2.7697649002075195, 1.5088837146759033]",-8.807396,-6.8035817,incorrect,False,-8.807396,-13.607163,correct,True,-8.807396,-11.722897,correct,True,10.401963,8836,[0.5298778414726257],[0.7239210605621338],25668,"[-0.34298861026763916, 9.850826263427734]","[-0.17979630827903748, 1.5202258825302124]",-10.400163,-5.990282,incorrect,False,-10.400163,-11.980564,correct,True,-10.400163,-11.273029,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,7.8390355,987,[0.9321383833885193],[1.0418490171432495],8646,"[-1.9241399765014648, 8.13468074798584]","[-1.0944830179214478, 2.5139389038085938]",-8.737417,-6.8560376,incorrect,False,-8.737417,-13.712075,correct,True,-8.737417,-11.593697,correct,True,10.49608,6148,[0.7895745038986206],[0.7928566932678223],24663,"[-0.1333368718624115, 9.65354061126709]","[-0.14821629226207733, -0.3152715563774109]",-10.212128,-5.926011,incorrect,False,-10.212128,-11.852022,correct,True,-10.212128,-11.135039,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,7.898574,821,[1.1866439580917358],[1.4786224365234375],9059,"[-2.0052976608276367, 8.012517929077148]","[-1.6392309665679932, 8.173232078552246]",-8.505996,-6.8336763,incorrect,False,-8.505996,-13.667353,correct,True,-8.505996,-11.697937,correct,True,10.503106,7174,[0.9144497513771057],[0.9016653895378113],25063,"[0.06628227978944778, 9.228863716125488]","[-0.01724480465054512, 2.801985263824463]",-10.298052,-5.9768167,incorrect,False,-10.298052,-11.953633,correct,True,-10.298052,-11.146219,correct,True,An
