task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,5.69475,5869,"[-0.2459239959716797, 5.144908428192139, 3.773937940597534]","[1.04905366897583, 3.4928841590881348, 1.987108826637268]",8560,[-0.8312129974365234],[0.1283346712589264],-8.345304,-12.736593,correct,True,-25.035912,-12.736593,incorrect,False,-12.151304,-12.736593,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,6.603484,2180,"[1.0117852687835693, 5.964554309844971, 3.1077191829681396]","[3.456940174102783, 2.2392101287841797, 3.8295931816101074]",3607,[0.38587215542793274],[0.826191246509552],-7.6561413,-10.723183,correct,True,-22.968424,-10.723183,incorrect,False,-10.097269,-10.723183,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,6.290374,523,"[2.6825008392333984, 6.36873197555542, 5.527574062347412]","[1.3618448972702026, 0.21322351694107056, 0.5952523350715637]",2016,[1.0729343891143799],[0.4775533080101013],-6.2801347,-10.051044,correct,True,-18.840405,-10.051044,incorrect,False,-8.441479,-10.051044,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,5.74835,610,"[2.452338695526123, 5.382201194763184, 5.00651741027832]","[0.9366998672485352, 3.8190431594848633, -1.6588304042816162]",1778,[1.1026647090911865],[1.9822108745574951],-6.7354064,-10.229186,correct,True,-20.206219,-10.229186,incorrect,False,-8.879513,-10.229186,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,6.2342305,500,"[2.6839518547058105, 6.873124599456787, 3.948784351348877]","[1.4809941053390503, 0.5847505331039429, 1.0742056369781494]",808,[2.147672414779663],[-1.8073267936706543],-6.6446204,-9.055914,correct,True,-19.93386,-9.055914,incorrect,False,-8.519634,-9.055914,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,7.5097055,403,"[2.697338104248047, 6.432170867919922, 4.06501579284668]","[3.0585594177246094, 0.6922423839569092, 2.428468704223633]",2707,[0.8083692193031311],[-0.16695678234100342],-6.656786,-9.915389,correct,True,-19.970358,-9.915389,incorrect,False,-8.026421,-9.915389,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,6.841856,101,"[3.870586395263672, 6.084853172302246, 4.4903950691223145]","[2.767725706100464, -0.02010214328765869, -1.0299748182296753]",2924,[0.43697983026504517],[-0.22167086601257324],-6.3471165,-10.295012,correct,True,-19.04135,-10.295012,incorrect,False,-6.8614054,-10.295012,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,7.142621,30,"[4.7810821533203125, 5.721579074859619, 3.6826014518737793]","[1.361119270324707, -1.0919759273529053, -0.343581885099411]",2899,[0.46156787872314453],[-0.36958420276641846],-6.329366,-10.204094,correct,True,-18.988098,-10.204094,incorrect,False,-5.8845797,-10.204094,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,6.083248,48,"[4.627219200134277, 4.753124237060547, 3.0211808681488037]","[2.076878547668457, 2.917999267578125, 2.5377142429351807]",3833,[-0.033355116844177246],[-0.4946654736995697],-6.9999604,-10.942643,correct,True,-20.999882,-10.942643,incorrect,False,-6.282069,-10.942643,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,7.1480513,20,"[5.1287407875061035, 5.575379371643066, 3.6587350368499756]","[1.5317224264144897, 0.8375781774520874, 1.1893393993377686]",7714,[-0.6362794637680054],[-3.1075034141540527],-6.1422443,-11.373718,correct,True,-18.426733,-11.373718,incorrect,False,-5.608698,-11.373718,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,5.732052,21,"[5.662468910217285, 5.150404930114746, 3.9995782375335693]","[-0.6552354097366333, -2.0766587257385254, -2.1788101196289062]",12461,[-1.9266997575759888],[0.8975449800491333],-6.1394525,-13.01359,correct,True,-18.418358,-13.01359,incorrect,False,-5.4244213,-13.01359,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,5.9714994,30,"[4.9677276611328125, 4.056779861450195, 3.100984811782837]","[-0.763899564743042, 0.4639449119567871, -1.5909175872802734]",9108,[-1.2629976272583008],[-1.0004510879516602],-7.0195527,-12.196543,correct,True,-21.058659,-12.196543,incorrect,False,-5.965817,-12.196543,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,4.2968097,87,"[4.269778251647949, 3.9711389541625977, 2.201881170272827]","[-0.9896155595779419, -0.594977617263794, 0.3485167622566223]",11122,[-1.8131904602050781],[2.535348892211914],-7.830442,-13.3916445,correct,True,-23.491325,-13.3916445,incorrect,False,-7.3086762,-13.3916445,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,4.095374,166,"[3.6098151206970215, 3.24153208732605, 2.3803329467773438]","[-0.5707525014877319, 3.1695244312286377, 0.14728951454162598]",5320,[-0.451680064201355],[1.9365578889846802],-8.333877,-12.150236,correct,True,-25.001629,-12.150236,incorrect,False,-8.088741,-12.150236,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",14,4.952573,265,"[2.958059310913086, 4.475600242614746, 2.335124969482422]","[0.553623616695404, 2.633229970932007, 1.3690316677093506]",2491,[0.3877570629119873],[3.0255796909332275],-8.021338,-10.895249,correct,True,-24.064014,-10.895249,incorrect,False,-8.324947,-10.895249,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",15,2.0767019,317,"[2.826388359069824, 5.564949989318848, 2.7501096725463867]","[3.955109119415283, 1.4895424842834473, 4.086569786071777]",745,[1.9625591039657593],[9.988895416259766],-8.085694,-10.770774,correct,True,-24.257084,-10.770774,incorrect,False,-9.906944,-10.770774,correct,True
