task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,6.8346205,18364,[-14.730841636657715],[-32.725826263427734],26651,[-15.944952964782715],[-29.643505096435547],-14.04056,-15.254671,correct,True,-14.04056,-15.254671,correct,True,-14.04056,-15.254671,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,6.7029276,15324,[-0.3348536491394043],[-5.9438557624816895],12911,[0.028785347938537598],[-9.190350532531738],-13.430624,-13.066984,incorrect,False,-13.430624,-13.066984,incorrect,False,-13.430624,-13.066984,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,6.8324175,8332,[-1.1212995052337646],[-14.413703918457031],8356,[-1.1251380443572998],[-13.353135108947754],-12.178712,-12.18255,correct,True,-12.178712,-12.18255,correct,True,-12.178712,-12.18255,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,6.613284,9159,[-4.769376754760742],[1.0729937553405762],8197,[-4.582140922546387],[-1.053807020187378],-12.371338,-12.184102,incorrect,False,-12.371338,-12.184102,incorrect,False,-12.371338,-12.184102,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,6.83722,5283,[-5.642573833465576],[-19.784286499023438],5829,[-5.772087097167969],[-26.627225875854492],-11.166748,-11.296261,correct,True,-11.166748,-11.296261,correct,True,-11.166748,-11.296261,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,6.2255154,1482,[-8.505629539489746],[-4.146767616271973],3527,[-9.647195816040039],[-5.383164405822754],-9.843108,-10.984674,correct,True,-9.843108,-10.984674,correct,True,-9.843108,-10.984674,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,7.0829945,166,[-9.669380187988281],[-17.36857795715332],790,[-11.038866996765137],[-16.94931411743164],-7.336276,-8.705763,correct,True,-7.336276,-8.705763,correct,True,-7.336276,-8.705763,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,7.0261908,269,[-14.198759078979492],[-15.26076889038086],699,[-15.129150390625],[-12.869532585144043],-7.7338133,-8.664205,correct,True,-7.7338133,-8.664205,correct,True,-7.7338133,-8.664205,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,7.1189213,290,[-19.613840103149414],[-14.859659194946289],245,[-19.417848587036133],[-17.02267837524414],-7.835354,-7.6393623,incorrect,False,-7.835354,-7.6393623,incorrect,False,-7.835354,-7.6393623,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,7.341771,12,[-23.899938583374023],[-59.28962326049805],13,[-24.02009391784668],[-59.309024810791016],-4.876278,-4.9964333,correct,True,-4.876278,-4.9964333,correct,True,-4.876278,-4.9964333,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,7.8183618,67,[-45.793766021728516],[-102.38606262207031],52,[-45.52238464355469],[-100.00787353515625],-6.5968947,-6.3255134,incorrect,False,-6.5968947,-6.3255134,incorrect,False,-6.5968947,-6.3255134,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,7.3699284,242,[-94.0423583984375],,87,[-93.06800079345703],,-7.736475,-6.7621174,incorrect,False,-7.736475,-6.7621174,incorrect,False,-7.736475,-6.7621174,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,0,6.6738453,25905,"[-18.859277725219727, 41.31986999511719]","[-24.1291446685791, -93.70399475097656]",27855,"[-19.131546020507812, 15.68342399597168, -0.4663398265838623]","[-23.252378463745117, -46.9600830078125, -41.39698791503906]",-9.122936,-13.642662,correct,True,-18.245872,-40.927986,correct,True,-15.107687,-15.379955,correct,True
