task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,7.56,1652,[1.2822265625],[2.755859375],289,"[2.373046875, 4.390625, 4.75]","[-0.9775390625, -0.50341796875, 3.41796875]",-9.35,-7.145,incorrect,False,-9.35,-21.44,correct,True,-9.35,-8.26,incorrect,False,1.524,20228,[-0.32861328125],[1.9296875],25975,"[-1.046875, 4.4453125, 3.6796875]","[1.10546875, 0.044525146484375, 3.111328125]",-13.836,-9.58,incorrect,False,-13.836,-28.73,correct,True,-13.836,-14.555,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.04,309,[2.759765625],[4.5078125],6698,"[0.162353515625, 4.50390625, 5.68359375]","[2.083984375, 3.287109375, 1.646484375]",-7.83,-7.883,correct,True,-7.83,-23.66,correct,True,-7.83,-10.43,correct,True,8.29,11003,[-0.1949462890625],[-2.615234375],22724,"[-1.662109375, 4.4140625, 4.84765625]","[-0.07666015625, 0.06988525390625, 0.496337890625]",-11.22,-8.7,incorrect,False,-11.22,-26.11,correct,True,-11.22,-12.69,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,8.875,5,[4.96484375],[3.30859375],1560,"[1.74609375, 5.80859375, 5.890625]","[2.6328125, 1.3505859375, -0.306640625]",-5.758,-7.2,correct,True,-5.758,-21.6,correct,True,-5.758,-8.98,correct,True,8.87,24228,[-1.7958984375],[1.8662109375],22067,"[-1.498046875, 3.798828125, 4.63671875]","[-0.5751953125, -0.0556640625, 0.0295562744140625]",-12.766,-8.91,incorrect,False,-12.766,-26.72,correct,True,-12.766,-12.47,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,8.34,6,[5.22265625],[-0.27734375],147,"[3.259765625, 5.421875, 4.31640625]","[0.10845947265625, 2.1328125, 2.017578125]",-5.156,-6.875,correct,True,-5.156,-20.62,correct,True,-5.156,-7.117,correct,True,9.06,12398,[-0.045074462890625],[0.62841796875],23366,"[-1.3896484375, 3.2578125, 3.9375]","[-0.93359375, -1.6416015625, -0.346435546875]",-11.17,-9.055,incorrect,False,-11.17,-27.16,correct,True,-11.17,-12.516,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,8.45,12,[4.77734375],[4.70703125],263,"[2.85546875, 6.2890625, 5.1796875]","[0.92919921875, 0.6552734375, 2.865234375]",-5.637,-6.723,correct,True,-5.637,-20.17,correct,True,-5.637,-7.56,correct,True,8.75,7087,[0.0007071495056152344],[-0.09844970703125],12580,"[-0.85546875, 2.513671875, 3.396484375]","[0.55517578125, 1.31640625, 1.88671875]",-10.625,-9.2,incorrect,False,-10.625,-27.6,correct,True,-10.625,-11.484,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.51,1,[6.2578125],[2.923828125],402,"[2.6953125, 5.7890625, 5.9296875]","[1.1689453125, -0.2210693359375, 2.775390625]",-4.3,-6.668,correct,True,-4.3,-20.0,correct,True,-4.3,-7.863,correct,True,8.86,8473,[-0.232177734375],[-0.466796875],7019,"[0.0149078369140625, 2.916015625, 3.939453125]","[0.7216796875, 1.572265625, 4.015625]",-10.805,-8.63,incorrect,False,-10.805,-25.9,correct,True,-10.805,-10.56,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,7.934,2,[6.58203125],[1.666015625],185,"[3.244140625, 5.09765625, 6.546875]","[1.5400390625, 0.0830078125, 0.27197265625]",-4.047,-6.586,correct,True,-4.047,-19.77,correct,True,-4.047,-7.387,correct,True,8.82,7737,[-0.46240234375],[-0.7353515625],2844,"[0.67333984375, 3.12890625, 5.33203125]","[-1.138671875, -3.55859375, 2.02734375]",-10.71,-7.88,incorrect,False,-10.71,-23.64,correct,True,-10.71,-9.58,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,7.836,2,[6.59375],[2.287109375],145,"[3.509765625, 4.23046875, 5.890625]","[2.341796875, 2.509765625, 3.333984375]",-4.17,-7.207,correct,True,-4.17,-21.62,correct,True,-4.17,-7.258,correct,True,8.83,9827,[-0.7763671875],[1.6259765625],3304,"[0.54248046875, 0.6318359375, 5.375]","[0.900390625, -0.79345703125, 2.810546875]",-11.05,-8.984,incorrect,False,-11.05,-26.95,correct,True,-11.05,-9.73,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,7.445,2,[6.98046875],[-2.166015625],18,"[4.80859375, 4.78515625, 6.49609375]","[-1.04296875, -2.126953125, 2.830078125]",-3.582,-6.176,correct,True,-3.582,-18.53,correct,True,-3.582,-5.754,correct,True,8.555,3327,[0.227783203125],[2.4765625],1003,"[1.447265625, -0.194580078125, 5.7734375]","[-0.352783203125, 1.185546875, 2.810546875]",-9.84,-8.375,incorrect,False,-9.84,-25.12,correct,True,-9.84,-8.625,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,8.15,11,[5.3046875],[-1.0830078125],166,"[3.369140625, 3.662109375, 7.23046875]","[2.587890625, 1.013671875, 2.669921875]",-5.355,-6.836,correct,True,-5.355,-20.5,correct,True,-5.355,-7.293,correct,True,8.47,1619,[0.947265625],[-3.94140625],1021,"[1.3798828125, 0.1524658203125, 6.03125]","[-0.177978515625, 2.53125, 4.46875]",-9.09,-8.375,incorrect,False,-9.09,-25.14,correct,True,-9.09,-8.66,incorrect,False,An
