task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,7.39321,4902,"[0.40776705741882324, 5.438995361328125, 3.5066797733306885]","[0.49501660466194153, 3.411905288696289, 1.2807989120483398]",8701,[-0.3130861222743988],[0.09705270826816559],-7.949533,-11.467043,correct,True,-23.848598,-11.467043,incorrect,False,-10.746189,-11.467043,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,7.1386375,1878,"[1.1301348209381104, 6.108964920043945, 2.4387385845184326]","[4.758356094360352, 2.9806623458862305, 4.5910444259643555]",3616,[0.3889649510383606],[1.0536410808563232],-7.852011,-10.497022,correct,True,-23.556034,-10.497022,incorrect,False,-9.755853,-10.497022,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,7.2705584,135,"[3.732879161834717, 6.4578022956848145, 5.6101250648498535]","[0.35992133617401123, 0.23287367820739746, 0.5038242340087891]",1995,[1.0836412906646729],[1.8937300443649292],-5.801701,-9.676564,correct,True,-17.405104,-9.676564,incorrect,False,-7.027326,-9.676564,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,7.003637,424,"[2.789003849029541, 5.1194353103637695, 5.050789833068848]","[-0.06776416301727295, 2.874598264694214, -1.757969617843628]",995,[1.9603917598724365],[-0.36673736572265625],-6.5809917,-8.960603,correct,True,-19.742975,-8.960603,incorrect,False,-8.13199,-8.960603,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,7.2137537,697,"[2.311753273010254, 6.205201148986816, 4.07193660736084]","[4.173267364501953, -1.5869557857513428, 1.5213944911956787]",1554,[1.456230878829956],[2.2510697841644287],-6.96982,-9.3983135,correct,True,-20.90946,-9.3983135,incorrect,False,-8.542791,-9.3983135,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,7.4221725,67,"[4.190876483917236, 4.396516799926758, 4.281002044677734]","[2.0987253189086914, 0.6269264817237854, 2.496274471282959]",480,[2.5457425117492676],[0.7778583765029907],-6.783501,-8.161391,correct,True,-20.350504,-8.161391,incorrect,False,-6.516258,-8.161391,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,7.196934,26,"[4.789642810821533, 4.495070457458496, 4.762668609619141]","[2.1823394298553467, 0.7354801297187805, -0.8218727111816406]",484,[2.368023157119751],[-0.44116154313087463],-6.512774,-8.187197,correct,True,-19.538322,-8.187197,incorrect,False,-5.7655773,-8.187197,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,7.693226,11,"[5.360755920410156, 4.774336338043213, 3.9497313499450684]","[2.66812801361084, -0.8943467140197754, 0.6055750846862793]",664,[2.1124565601348877],[3.478912591934204],-6.445544,-8.386889,correct,True,-19.336632,-8.386889,incorrect,False,-5.13859,-8.386889,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,6.766294,15,"[5.920004844665527, 3.7823591232299805, 3.660667657852173]","[0.04158616065979004, -0.5592168569564819, 0.6907594203948975]",152,[3.465447425842285],[0.8359033465385437],-6.671449,-7.154086,correct,True,-20.014347,-7.154086,incorrect,False,-4.6995287,-7.154086,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,7.2881327,18,"[5.345890045166016, 3.013821601867676, 3.3876616954803467]","[1.6587607860565186, 0.007607519626617432, 1.416717290878296]",192,[3.120131254196167],[-0.31066209077835083],-7.063391,-7.4308558,correct,True,-21.190174,-7.4308558,incorrect,False,-5.2050977,-7.4308558,correct,True
