task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,4.913867,3540,"[0.35555794835090637, 6.346829414367676, 4.548312664031982]","[2.1892690658569336, 6.263556480407715, 1.9086298942565918]",586,[2.4573678970336914],[-0.3992580771446228],-7.7856364,-9.317413,correct,True,-23.356909,-9.317413,incorrect,False,-11.419223,-9.317413,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,4.5558777,2157,"[1.3469369411468506, 9.177339553833008, 4.21601676940918]","[-0.2731398344039917, 3.7940266132354736, 6.061049461364746]",1833,[1.577060341835022],[1.3272570371627808],-6.991268,-10.639411,correct,True,-20.973804,-10.639411,incorrect,False,-10.869537,-10.639411,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,7.22691,1762,"[1.5033113956451416, 8.622659683227539, 7.401578426361084]","[1.6445200443267822, 3.0005135536193848, 3.9701642990112305]",548,[2.580936908721924],[2.957939863204956],-5.8638215,-8.301143,correct,True,-17.591465,-8.301143,incorrect,False,-9.378769,-8.301143,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,6.892309,1986,"[1.4919993877410889, 8.02743911743164, 8.886053085327148]","[2.2477829456329346, 0.5796679258346558, 0.37759286165237427]",315,[3.2592787742614746],[3.039921760559082],-5.8692822,-7.8439875,correct,True,-17.607847,-7.8439875,incorrect,False,-9.611267,-7.8439875,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,7.296854,888,"[2.4972405433654785, 6.724257469177246, 7.137174129486084]","[1.8552947044372559, 2.03140926361084, 0.423287034034729]",117,[4.263921737670898],[1.3406846523284912],-6.391564,-6.8994436,correct,True,-19.174692,-6.8994436,incorrect,False,-8.666124,-6.8994436,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,7.5197835,528,"[3.1828436851501465, 6.874357223510742, 6.35051965713501]","[-1.7898623943328857, 2.016247272491455, 2.121950626373291]",135,[4.326908588409424],[-0.24528637528419495],-6.5791035,-6.976854,correct,True,-19.73731,-6.976854,incorrect,False,-8.120918,-6.976854,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,7.4612637,1763,"[1.9993940591812134, 7.123950481414795, 6.158027648925781]","[-0.2375836968421936, 2.6383023262023926, 1.5568151473999023]",279,[3.8037474155426025],[0.4905729293823242],-7.0212035,-7.5923624,correct,True,-21.06361,-7.5923624,incorrect,False,-9.396715,-7.5923624,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,7.4459605,1891,"[1.8569074869155884, 8.122584342956543, 5.636163234710693]","[3.021986961364746, -2.8451108932495117, 2.364628314971924]",323,[3.6604740619659424],[-1.4759531021118164],-6.9345837,-7.6960254,correct,True,-20.803751,-7.6960254,incorrect,False,-9.499592,-7.6960254,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,7.5307045,799,"[2.8201520442962646, 6.200344085693359, 5.81022834777832]","[2.95049786567688, 1.8516511917114258, -0.8082732558250427]",1155,[2.426578998565674],[2.8151848316192627],-7.301871,-8.928863,correct,True,-21.905613,-8.928863,incorrect,False,-8.53529,-8.928863,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,7.8120832,228,"[3.9832959175109863, 6.346770286560059, 4.802465915679932]","[1.7156405448913574, -0.6980650424957275, 1.2370741367340088]",380,[3.5584535598754883],[2.448535680770874],-6.972262,-7.8038797,correct,True,-20.916786,-7.8038797,incorrect,False,-7.379038,-7.8038797,correct,True
