task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,condition,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,3.0900407,18761,"[-0.7340002059936523, 3.7107162475585938, 1.7114609479904175]","[-0.48884162306785583, 1.983628749847412, 0.3663015067577362]",14982,[-0.40447309613227844],[0.21605311334133148],-10.11251,-12.359964,correct,True,-30.33753,-12.359964,intuitive,False,-12.689491,-12.359964,intuitive,False,8.823871,4891,"[1.777611494064331, 3.901677370071411, 1.4577312469482422]","[0.6849400997161865, 1.6858301162719727, 0.03493805602192879]",27167,[-1.136290431022644],[-0.6242493987083435],-9.432354,-13.031534,correct,True,-28.297062,-13.031534,intuitive,False,-10.117632,-13.031534,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,7.8346825,16217,"[-0.7311295866966248, 3.431636333465576, 1.2737845182418823]","[1.8050388097763062, 0.9938931465148926, 3.7934000492095947]",9982,[-0.1778116226196289],[1.1456189155578613],-9.989123,-10.862874,correct,True,-29.96737,-10.862874,intuitive,False,-11.416192,-10.862874,intuitive,False,8.450949,4096,"[1.5277801752090454, 3.516134023666382, 0.8904703855514526]","[-0.10181456804275513, 0.2575088143348694, 4.713315486907959]",24266,[-1.085105538368225],[2.088473081588745],-9.723094,-12.627708,correct,True,-29.169283,-12.627708,intuitive,False,-10.014822,-12.627708,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,9.3719635,5372,"[0.4634530544281006, 3.0725574493408203, 3.595005989074707]","[0.47882434725761414, -0.34342825412750244, -0.017651909962296486]",5234,[0.483075350522995],[0.8186340928077698],-8.778213,-10.023748,correct,True,-26.334637,-10.023748,intuitive,False,-10.04337,-10.023748,intuitive,False,8.443717,11393,"[1.014884114265442, 2.688140392303467, 4.084420204162598]","[-0.37052246928215027, 0.4604233205318451, 0.07589446008205414]",17901,[0.28066977858543396],[-0.16056980192661285],-9.3390665,-11.833592,correct,True,-28.0172,-11.833592,intuitive,False,-11.099379,-11.833592,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,9.358471,4377,"[0.5899215340614319, 2.092000961303711, 2.518711805343628]","[0.39592066407203674, 3.1680796146392822, -1.5386989116668701]",3313,[0.7910630106925964],[2.2531585693359375],-8.9832735,-9.690121,correct,True,-26.949821,-9.690121,intuitive,False,-9.891262,-9.690121,intuitive,False,8.994111,16345,"[0.5378624200820923, 2.0953848361968994, 3.150606155395508]","[1.5008450746536255, 0.8713335394859314, -0.23515374958515167]",20089,[0.1188625916838646],[-1.6691287755966187],-9.886858,-11.971642,correct,True,-29.660574,-11.971642,intuitive,False,-11.552641,-11.971642,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,8.323448,4475,"[0.6732749342918396, 3.216055154800415, 1.2348469495773315]","[0.6406930088996887, 0.41199758648872375, 0.4664919674396515]",922,[1.7417147159576416],[-1.6702089309692383],-9.307145,-8.980143,intuitive,False,-27.921434,-8.980143,intuitive,False,-10.048582,-8.980143,intuitive,False,8.756826,10319,"[1.1017481088638306, 2.1669864654541016, 2.4713642597198486]","[-0.9107292890548706, -0.9089249968528748, 0.33884140849113464]",25134,[-0.6543103456497192],[-0.04408247023820877],-10.01427,-12.628339,correct,True,-30.04281,-12.628339,intuitive,False,-10.87228,-12.628339,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,8.195852,6679,"[0.860326886177063, 2.8872921466827393, 1.2524067163467407]","[2.2070350646972656, 0.4868111312389374, 1.7282527685165405]",10652,[0.37347611784935],[0.27938640117645264],-9.612231,-10.946485,correct,True,-28.836693,-10.946485,intuitive,False,-10.459634,-10.946485,correct,True,8.708358,15084,"[0.5351194143295288, 1.3205517530441284, 2.176999807357788]","[0.1414949595928192, -0.07370880246162415, 1.6543052196502686]",24219,[-0.5698701739311218],[0.9880666136741638],-10.776349,-12.582075,correct,True,-32.32905,-12.582075,intuitive,False,-11.477087,-12.582075,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,7.326601,2823,"[1.845231533050537, 2.689728021621704, 1.78450608253479]","[2.6782212257385254, -0.019000684842467308, -1.0570218563079834]",11964,[0.4558982849121094],[0.032654713839292526],-9.436587,-11.24377,correct,True,-28.309763,-11.24377,intuitive,False,-9.854437,-11.24377,correct,True,8.24922,17504,"[0.4883715510368347, 1.1598668098449707, 2.5183639526367188]","[0.3390054404735565, 0.27802789211273193, -1.2696384191513062]",21651,[-0.014743641950190067],[1.4739831686019897],-10.832169,-12.413288,correct,True,-32.496506,-12.413288,intuitive,False,-11.910173,-12.413288,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,8.883184,383,"[3.0228922367095947, 2.2935779094696045, 1.1404515504837036]","[1.0716792345046997, -1.3613075017929077, -0.8498188257217407]",10299,[0.4110856056213379],[0.05921703204512596],-9.043912,-10.837095,correct,True,-27.131737,-10.837095,intuitive,False,-8.225288,-10.837095,correct,True,8.592886,16951,"[0.5630183815956116, 1.1198458671569824, 1.639902949333191]","[1.7160083055496216, -2.7942802906036377, 0.27290400862693787]",16733,[0.5882932543754578],[-0.4075486958026886],-11.196069,-11.726937,correct,True,-33.588207,-11.726937,intuitive,False,-11.752212,-11.726937,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,8.978122,557,"[3.0004663467407227, 1.4481033086776733, 0.7136791348457336]","[1.741612195968628, 1.9857085943222046, 1.4406952857971191]",11284,[0.3571200370788574],[-0.24033287167549133],-9.443219,-11.009558,correct,True,-28.329657,-11.009558,intuitive,False,-8.366212,-11.009558,correct,True,8.913144,8612,"[1.1332547664642334, -0.23056304454803467, 1.5791680812835693]","[1.439802885055542, 1.9854466915130615, -1.3991107940673828]",15150,[0.36687934398651123],[0.5831871628761292],-11.320686,-11.428215,correct,True,-33.96206,-11.428215,intuitive,False,-10.6618395,-11.428215,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,9.092657,546,"[3.5451571941375732, 2.2850382328033447, 1.187720775604248]","[1.4145348072052002, 0.8407518267631531, 0.2590331733226776]",18166,[0.18465234339237213],[-2.9396674633026123],-9.013634,-11.745605,correct,True,-27.040901,-11.745605,intuitive,False,-8.3851,-11.745605,correct,True,8.826144,6788,"[1.5088986158370972, 0.586868166923523, 0.8952465653419495]","[0.6087021231651306, -0.7052499055862427, -0.02565508522093296]",14696,[0.5290716290473938],[0.1205274909734726],-11.135188,-11.388559,correct,True,-33.405563,-11.388559,intuitive,False,-10.408733,-11.388559,correct,True,The capital
