task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,9.2701435,5319,"[1.0342490673065186, 2.5360093116760254, 0.5452767610549927]","[-0.4182295799255371, 1.783676266670227, 0.6269473433494568]",3107,[1.4172554016113281],[2.2260005474090576],-9.789291,-9.731285,intuitive,False,-29.367874,-9.731285,intuitive,False,-10.114292,-9.731285,intuitive,False,9.229921,29256,"[-1.4944381713867188, 2.69514536857605, 0.7688804864883423]","[0.09020635485649109, 2.017338752746582, 0.13519394397735596]",15339,[0.3658432960510254],[1.9809136390686035],-10.789273,-11.309773,correct,True,-32.36782,-11.309773,intuitive,False,-13.170054,-11.309773,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,9.426558,7590,"[0.6297354102134705, 2.5736396312713623, 0.7557570338249207]","[-0.8590961694717407, 2.358112096786499, 2.0904994010925293]",976,[1.969512939453125],[-0.47474801540374756],-9.846677,-9.016132,intuitive,False,-29.540031,-9.016132,intuitive,False,-10.355909,-9.016132,intuitive,False,8.960368,26664,"[-0.9321268200874329, 2.8324532508850098, 0.5650376081466675]","[-1.580544114112854, -1.599124550819397, 2.0249364376068115]",6987,[1.4334142208099365],[1.8328579664230347],-10.777625,-10.427954,intuitive,False,-32.332874,-10.427954,intuitive,False,-12.793493,-10.427954,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,9.320972,13243,"[0.11267707496881485, 3.426783561706543, 1.9386366605758667]","[1.196327805519104, 1.5738002061843872, -0.48188480734825134]",2615,[1.5487408638000488],[3.381448745727539],-9.393585,-9.530735,correct,True,-28.180756,-9.530735,intuitive,False,-10.966799,-9.530735,intuitive,False,8.936041,29116,"[-1.5682947635650635, 1.4617925882339478, 1.8183287382125854]","[-0.0069547491148114204, -0.7797196507453918, -1.2743264436721802]",3422,[2.0688211917877197],[0.7638258934020996],-11.1282,-9.760045,intuitive,False,-33.384598,-9.760045,intuitive,False,-13.397161,-9.760045,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,9.353658,5187,"[0.792303204536438, 3.6818687915802, 1.2519755363464355]","[0.06341882050037384, 0.2597726583480835, -0.7976560592651367]",123,[3.1703739166259766],[-1.2275878190994263],-9.121713,-7.636779,intuitive,False,-27.365139,-7.636779,intuitive,False,-10.01485,-7.636779,intuitive,False,9.059295,26720,"[-1.2830764055252075, 0.6706998348236084, 0.8662933707237244]","[0.34866395592689514, -0.037246692925691605, -0.48036324977874756]",2543,[2.0097436904907227],[0.244592547416687],-11.268527,-9.48374,intuitive,False,-33.80558,-9.48374,intuitive,False,-12.77656,-9.48374,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,9.384894,6771,"[0.687619686126709, 2.9814822673797607, 0.5861527919769287]","[-1.7165740728378296, 1.393932580947876, 1.9351778030395508]",1145,[2.042300224304199],[2.9875288009643555],-9.669904,-8.887457,intuitive,False,-29.00971,-8.887457,intuitive,False,-10.242138,-8.887457,intuitive,False,9.02186,24934,"[-0.949707567691803, 0.5309983491897583, 0.4494260549545288]","[-3.5834367275238037, 0.5504758954048157, 1.018937349319458]",3453,[1.7955960035324097],[-1.7994990348815918],-11.372548,-9.736644,intuitive,False,-34.117645,-9.736644,intuitive,False,-12.481948,-9.736644,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.391014,14218,"[-0.1425151526927948, 3.3512866497039795, 1.3115832805633545]","[-2.4786624908447266, -0.5612020492553711, 2.116536855697632]",217,[3.1216177940368652],[-3.274327516555786],-9.525385,-7.8778734,intuitive,False,-28.576155,-7.8778734,intuitive,False,-11.142008,-7.8778734,intuitive,False,8.938617,30411,"[-2.070044755935669, 0.7051527500152588, 0.8037350177764893]","[-1.240660548210144, 0.8003785014152527, 2.4985265731811523]",10075,[0.8671496510505676],[-3.1348330974578857],-11.539738,-10.816428,intuitive,False,-34.619213,-10.816428,intuitive,False,-13.753622,-10.816428,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.28502,26577,"[-1.437537670135498, 2.7080929279327393, 1.975737452507019]","[-1.9312028884887695, 0.6177311539649963, 1.1889296770095825]",7795,[0.8206478357315063],[-0.931842565536499],-10.039235,-10.424079,correct,True,-30.117704,-10.424079,intuitive,False,-12.682266,-10.424079,intuitive,False,8.749569,30761,"[-2.21016263961792, 1.0094307661056519, 1.7064584493637085]","[-0.3173268735408783, -0.23986542224884033, 1.8773049116134644]",21630,[-0.3715939223766327],[-1.3327096700668335],-11.225728,-12.154376,correct,True,-33.677185,-12.154376,intuitive,False,-13.992946,-12.154376,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,9.262815,30294,"[-2.144962787628174, 2.57085919380188, 2.1406400203704834]","[2.0754103660583496, 0.1501934677362442, -1.064756989479065]",14592,[0.26116102933883667],[9.341062545776367],-10.374955,-11.260855,correct,True,-31.124866,-11.260855,intuitive,False,-13.66698,-11.260855,intuitive,False,8.726567,30194,"[-2.00817608833313, 0.7922691106796265, 2.1491599082946777]","[2.1172215938568115, -0.7429254055023193, 1.3313835859298706]",23978,[-0.7609198689460754],[1.6525473594665527],-11.094189,-12.445507,correct,True,-33.282566,-12.445507,intuitive,False,-13.692763,-12.445507,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,9.133238,23217,"[-0.5517831444740295, 2.193742275238037, 1.4994206428527832]","[-0.1311383694410324, -1.325939655303955, 0.723420262336731]",18,[5.356597900390625],[1.0136480331420898],-10.326919,-6.387816,intuitive,False,-30.980757,-6.387816,intuitive,False,-12.296198,-6.387816,intuitive,False,8.397279,26178,"[-1.1142537593841553, 0.2438271939754486, 2.4602112770080566]","[-2.2984564304351807, -1.05348539352417, 0.22134962677955627]",18257,[-0.1413765400648117],[-0.20895527303218842],-10.931806,-11.821313,correct,True,-32.795418,-11.821313,intuitive,False,-12.79419,-11.821313,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.135581,22679,"[-0.5585231184959412, 1.4077858924865723, 1.63938570022583]","[-0.4844026565551758, -0.6893007159233093, 1.7193957567214966]",22,[5.313762187957764],[2.2652993202209473],-10.566651,-6.3822455,intuitive,False,-31.699955,-6.3822455,intuitive,False,-12.254532,-6.3822455,intuitive,False,8.753519,29046,"[-1.729214072227478, -0.17511503398418427, 2.4057517051696777]","[1.1836074590682983, -0.04967949166893959, 0.6629655361175537]",18659,[-0.1934381127357483],[1.6433745622634888],-11.248614,-11.792479,correct,True,-33.745842,-11.792479,intuitive,False,-13.328254,-11.792479,intuitive,False,The capital
