task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,8.57072,7766,"[0.11731298267841339, 3.861844301223755, 0.8178114891052246]","[0.9956352114677429, 6.054296016693115, 1.6091017723083496]",156,[3.0024566650390625],[-0.654914140701294],-9.453148,-7.712985,intuitive,False,-28.359444,-7.712985,intuitive,False,-10.598129,-7.712985,intuitive,False,8.7848835,7320,"[0.9125711917877197, 4.383352756500244, 0.8781706094741821]","[0.23077474534511566, 3.994361400604248, 1.9049255847930908]",2239,[2.1336069107055664],[1.6738063097000122],-9.282575,-9.407628,correct,True,-27.847725,-9.407628,intuitive,False,-10.628664,-9.407628,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,8.160428,6510,"[0.8191962838172913, 6.143069744110107, 1.7131376266479492]","[-1.8582589626312256, 2.3887789249420166, 5.47514009475708]",1236,[2.3573760986328125],[1.740485429763794],-8.891433,-9.0427265,correct,True,-26.674297,-9.0427265,intuitive,False,-10.580907,-9.0427265,intuitive,False,7.561443,12529,"[0.7285611033439636, 5.495949745178223, 2.032743453979492]","[-2.8976857662200928, 2.8244757652282715, 5.792670249938965]",3137,[2.542158603668213],[-2.0380306243896484],-9.445281,-10.01981,correct,True,-28.335842,-10.01981,intuitive,False,-11.833407,-10.01981,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,8.576497,16144,"[-0.3208489418029785, 5.977007865905762, 5.14389705657959]","[-0.22083869576454163, 2.0522592067718506, 2.232326030731201]",1246,[2.5660934448242188],[2.9553701877593994],-8.436188,-8.980082,correct,True,-25.308563,-8.980082,intuitive,False,-11.867023,-8.980082,intuitive,False,8.166923,23471,"[-0.684766411781311, 5.664772033691406, 5.637375831604004]","[1.1958802938461304, 4.136958122253418, 2.396465301513672]",10781,[1.1213496923446655],[1.7661752700805664],-8.750266,-11.429472,correct,True,-26.250797,-11.429472,intuitive,False,-13.235588,-11.429472,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,8.686397,16099,"[-0.34276893734931946, 5.323257923126221, 5.2385125160217285]","[1.4890497922897339, -0.17117911577224731, -1.485941767692566]",485,[3.2396247386932373],[2.775773525238037],-8.609756,-8.247323,intuitive,False,-25.82927,-8.247323,intuitive,False,-11.829718,-8.247323,intuitive,False,7.861866,17630,"[0.08748896420001984, 6.514414310455322, 5.720516204833984]","[-1.1419187784194946, -1.9659851789474487, -2.012521743774414]",6733,[1.6696760654449463],[1.7868818044662476],-8.183267,-10.835395,correct,True,-24.5498,-10.835395,intuitive,False,-12.417582,-10.835395,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,8.613758,6685,"[0.8751633763313293, 4.104011058807373, 3.153733491897583]","[0.5328202247619629, -0.4901483654975891, -0.6183645725250244]",183,[4.068052768707275],[1.2741782665252686],-9.363062,-7.408554,intuitive,False,-28.089186,-7.408554,intuitive,False,-10.601443,-7.408554,intuitive,False,8.061556,20846,"[-0.45919346809387207, 3.867316246032715, 3.3020997047424316]","[0.41760456562042236, 1.9429746866226196, -0.06583568453788757]",4344,[2.153162956237793],[1.2586973905563354],-10.082895,-10.271342,correct,True,-30.248686,-10.271342,intuitive,False,-12.883699,-10.271342,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,8.288475,8158,"[0.9991236329078674, 3.118962049484253, 2.2060112953186035]","[-2.6260809898376465, 1.1433193683624268, 0.5013166069984436]",424,[3.930222749710083],[-0.3443877696990967],-10.274867,-8.063778,intuitive,False,-30.8246,-8.063778,intuitive,False,-10.994877,-8.063778,intuitive,False,8.143181,19252,"[-0.17382629215717316, 4.04374361038208, 2.586118459701538]","[0.34855666756629944, 1.0145965814590454, -0.29610326886177063]",4107,[2.2975168228149414],[1.55125093460083],-10.363269,-10.187768,intuitive,False,-31.089806,-10.187768,intuitive,False,-12.65911,-10.187768,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,8.388069,20629,"[-0.4426950514316559, 3.2003297805786133, 2.0744166374206543]","[-0.953115701675415, 0.384193480014801, -0.5707236528396606]",1393,[3.296358823776245],[0.46470996737480164],-10.867642,-9.040443,intuitive,False,-32.60293,-9.040443,intuitive,False,-12.779496,-9.040443,intuitive,False,8.304264,17492,"[-0.00293609406799078, 3.76311993598938, 2.011820077896118]","[0.17773380875587463, -2.694732189178467, -0.888929545879364]",2831,[2.612457275390625],[-2.257402181625366],-10.429089,-9.737047,intuitive,False,-31.287266,-9.737047,intuitive,False,-12.35244,-9.737047,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,8.288149,23849,"[-0.8824203014373779, 3.105289936065674, 1.4338122606277466]","[1.848815679550171, -3.6920270919799805, 1.0374140739440918]",1822,[3.1602675914764404],[-1.6332502365112305],-11.348637,-9.288496,intuitive,False,-34.04591,-9.288496,intuitive,False,-13.331184,-9.288496,intuitive,False,8.421438,17394,"[0.06990089267492294, 2.328073501586914, 1.2541273832321167]","[-1.0907082557678223, -3.5517992973327637, 2.2695019245147705]",8811,[1.310064435005188],[-0.8901848793029785],-11.229114,-11.039349,intuitive,False,-33.68734,-11.039349,intuitive,False,-12.279512,-11.039349,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,8.3262415,17825,"[0.14696985483169556, 1.1415226459503174, 1.6514028310775757]","[2.2603671550750732, 1.6202354431152344, -1.5177090167999268]",6180,[1.9438910484313965],[2.6224403381347656],-11.630895,-10.6157055,intuitive,False,-34.892685,-10.6157055,intuitive,False,-12.412627,-10.6157055,intuitive,False,8.468686,21097,"[-0.354785680770874, 0.6080231666564941, 1.9769443273544312]","[3.033318042755127, 2.085085868835449, -2.194598913192749]",12609,[0.8172950148582458],[5.097067356109619],-11.761547,-11.594879,intuitive,False,-35.28464,-11.594879,intuitive,False,-12.766959,-11.594879,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,8.396212,10805,"[1.2668412923812866, 1.7742273807525635, 0.9029383659362793]","[0.5777191519737244, -0.7750464081764221, -0.2082875818014145]",2829,[2.9829177856445312],[2.1583871841430664],-11.203439,-9.714224,intuitive,False,-33.610317,-9.714224,intuitive,False,-11.430302,-9.714224,intuitive,False,8.613318,13143,"[0.6805852651596069, 1.4808663129806519, 0.8611422777175903]","[-2.4705302715301514, 1.7083107233047485, 0.2827175557613373]",3565,[2.427475690841675],[1.3101190328598022],-11.306027,-9.870199,intuitive,False,-33.918083,-9.870199,intuitive,False,-11.617089,-9.870199,intuitive,False,The capital
