task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,condition,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,8.525898,9759,"[-0.04556644707918167, 3.276219606399536, 0.5705520510673523]","[1.4503189325332642, 4.091618537902832, 2.0021719932556152]",726,[2.125483512878418],[0.4711310565471649],-9.8696785,-8.7283125,intuitive,False,-29.609035,-8.7283125,intuitive,False,-10.899363,-8.7283125,intuitive,False,8.7848835,7320,"[0.9125711917877197, 4.383352756500244, 0.8781706094741821]","[0.23077474534511566, 3.994361400604248, 1.9049255847930908]",2239,[2.1336069107055664],[1.6738063097000122],-9.282575,-9.407628,correct,True,-27.847725,-9.407628,intuitive,False,-10.628664,-9.407628,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,8.707923,5979,"[0.8215950727462769, 4.539571285247803, 1.7850191593170166]","[-0.06865259259939194, 0.6638140678405762, 5.246697902679443]",1531,[2.0543458461761475],[1.3282105922698975],-9.12078,-9.112954,intuitive,False,-27.362339,-9.112954,intuitive,False,-10.345705,-9.112954,intuitive,False,7.561443,12529,"[0.7285611033439636, 5.495949745178223, 2.032743453979492]","[-2.8976857662200928, 2.8244757652282715, 5.792670249938965]",3137,[2.542158603668213],[-2.0380306243896484],-9.445281,-10.01981,correct,True,-28.335842,-10.01981,intuitive,False,-11.833407,-10.01981,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,8.910154,7842,"[0.5538358092308044, 4.0214738845825195, 5.0254716873168945]","[-0.7557361125946045, 2.252941608428955, 2.4220802783966064]",1529,[2.107581377029419],[2.7286651134490967],-8.498241,-9.049567,correct,True,-25.494724,-9.049567,intuitive,False,-10.603313,-9.049567,intuitive,False,8.166923,23471,"[-0.684766411781311, 5.664772033691406, 5.637375831604004]","[1.1958802938461304, 4.136958122253418, 2.396465301513672]",10781,[1.1213496923446655],[1.7661752700805664],-8.750266,-11.429472,correct,True,-26.250797,-11.429472,intuitive,False,-13.235588,-11.429472,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,8.74041,10766,"[0.09479756653308868, 4.0168962478637695, 5.200898170471191]","[3.402170181274414, -0.5450801253318787, -0.8983693718910217]",636,[2.780503511428833],[0.7164833545684814],-8.571161,-8.433039,intuitive,False,-25.713484,-8.433039,intuitive,False,-11.118745,-8.433039,intuitive,False,7.861866,17630,"[0.08748896420001984, 6.514414310455322, 5.720516204833984]","[-1.1419187784194946, -1.9659851789474487, -2.012521743774414]",6733,[1.6696760654449463],[1.7868818044662476],-8.183267,-10.835395,correct,True,-24.5498,-10.835395,intuitive,False,-12.417582,-10.835395,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,8.615051,1382,"[2.3526527881622314, 2.972048759460449, 3.485543966293335]","[1.356981873512268, -4.1593170166015625, -0.5744056105613708]",1509,[2.267688751220703],[0.23185929656028748],-8.821732,-9.006706,correct,True,-26.465195,-9.006706,intuitive,False,-8.9217415,-9.006706,correct,True,8.061556,20846,"[-0.45919346809387207, 3.867316246032715, 3.3020997047424316]","[0.41760456562042236, 1.9429746866226196, -0.06583568453788757]",4344,[2.153162956237793],[1.2586973905563354],-10.082895,-10.271342,correct,True,-30.248686,-10.271342,intuitive,False,-12.883699,-10.271342,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,8.760283,1225,"[2.6096084117889404, 0.5381208658218384, 2.5467004776000977]","[-1.026347279548645, 1.9800232648849487, 0.3158402442932129]",2596,[1.930812954902649],[-0.26310670375823975],-10.002028,-9.479536,intuitive,False,-30.006084,-9.479536,intuitive,False,-8.80074,-9.479536,correct,True,8.143181,19252,"[-0.17382629215717316, 4.04374361038208, 2.586118459701538]","[0.34855666756629944, 1.0145965814590454, -0.29610326886177063]",4107,[2.2975168228149414],[1.55125093460083],-10.363269,-10.187768,intuitive,False,-31.089806,-10.187768,intuitive,False,-12.65911,-10.187768,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,8.72962,3784,"[1.737014889717102, 1.535664677619934, 2.2689504623413086]","[2.707817554473877, 0.49952611327171326, 0.08448813110589981]",4564,[1.5293149948120117],[-0.2535097599029541],-10.142385,-10.112854,intuitive,False,-30.427153,-10.112854,intuitive,False,-9.905153,-10.112854,correct,True,8.304264,17492,"[-0.00293609406799078, 3.76311993598938, 2.011820077896118]","[0.17773380875587463, -2.694732189178467, -0.888929545879364]",2831,[2.612457275390625],[-2.257402181625366],-10.429089,-9.737047,intuitive,False,-31.287266,-9.737047,intuitive,False,-12.35244,-9.737047,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,8.584313,1128,"[2.827040910720825, 1.5858759880065918, 1.9015306234359741]","[-1.345658302307129, -0.9811170697212219, -0.5039020776748657]",5911,[1.1827170848846436],[-0.09176945686340332],-9.841067,-10.433525,correct,True,-29.523201,-10.433525,intuitive,False,-8.7892,-10.433525,correct,True,8.421438,17394,"[0.06990089267492294, 2.328073501586914, 1.2541273832321167]","[-1.0907082557678223, -3.5517992973327637, 2.2695019245147705]",8811,[1.310064435005188],[-0.8901848793029785],-11.229114,-11.039349,intuitive,False,-33.68734,-11.039349,intuitive,False,-12.279512,-11.039349,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,8.195174,4317,"[1.7865487337112427, 0.8197617530822754, 1.4065712690353394]","[0.17501792311668396, 0.9740736484527588, -1.2567602396011353]",7998,[0.9974806308746338],[2.318108558654785],-10.737465,-10.960132,correct,True,-32.212395,-10.960132,intuitive,False,-10.171063,-10.960132,correct,True,8.468686,21097,"[-0.354785680770874, 0.6080231666564941, 1.9769443273544312]","[3.033318042755127, 2.085085868835449, -2.194598913192749]",12609,[0.8172950148582458],[5.097067356109619],-11.761547,-11.594879,intuitive,False,-35.28464,-11.594879,intuitive,False,-12.766959,-11.594879,intuitive,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,8.055754,6788,"[1.6167415380477905, 1.2154037952423096, 0.8046514987945557]","[1.8176511526107788, -1.6390776634216309, -0.47218483686447144]",4441,[2.1437339782714844],[2.0047948360443115],-10.907795,-10.29175,intuitive,False,-32.723385,-10.29175,intuitive,False,-10.818743,-10.29175,intuitive,False,8.613318,13143,"[0.6805852651596069, 1.4808663129806519, 0.8611422777175903]","[-2.4705302715301514, 1.7083107233047485, 0.2827175557613373]",3565,[2.427475690841675],[1.3101190328598022],-11.306027,-9.870199,intuitive,False,-33.918083,-9.870199,intuitive,False,-11.617089,-9.870199,intuitive,False,The capital
