task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,1.5058815000000002e-21,82063,[-8.21408462524414],[4.77299165725708],72757,[-7.149519443511963],[3.9929749965667725],-152.70107,-151.6365,incorrect,False,-152.70107,-151.6365,incorrect,False,-152.70107,-151.6365,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,0.0034737678,67002,[-3.8232524394989014],[-0.5406246781349182],63103,[-3.434945583343506],[-0.40136390924453735],-127.27477,-126.88647,incorrect,False,-127.27477,-126.88647,incorrect,False,-127.27477,-126.88647,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,3.146249e-14,126959,[-4.910163879394531],[-4.9380669593811035],118814,[-4.3408732414245605],[-1.4389203786849976],-106.41809,-105.8488,incorrect,False,-106.41809,-105.8488,incorrect,False,-106.41809,-105.8488,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,0.68471813,127167,[-6.933629035949707],[11.580063819885254],90216,[-4.383585453033447],[-1.064823031425476],-90.68325,-88.1332,incorrect,False,-90.68325,-88.1332,incorrect,False,-90.68325,-88.1332,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,0.62689817,35192,[1.3056985139846802],[-6.06307315826416],114873,[-4.4746994972229],[-8.329896926879883],-57.52689,-63.30729,correct,True,-57.52689,-63.30729,correct,True,-57.52689,-63.30729,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.934753e-14,44850,[-1.769882082939148],[1.0191419124603271],137553,[-8.440701484680176],[5.056521892547607],-93.457214,-100.12804,correct,True,-93.457214,-100.12804,correct,True,-93.457214,-100.12804,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,0.00014740355,52116,[-0.935238242149353],[-3.833265781402588],103741,[-4.327608108520508],[-3.006334066390991],-46.73459,-50.126957,correct,True,-46.73459,-50.126957,correct,True,-46.73459,-50.126957,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,0.00023820178,64781,[-2.587482452392578],[4.3354949951171875],104519,[-4.92333984375],[5.746997833251953],-40.707035,-43.042892,correct,True,-40.707035,-43.042892,correct,True,-40.707035,-43.042892,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,0.00047120446,36970,[-0.6478573679924011],[-9.111274719238281],57645,[-2.2269468307495117],[-5.448540687561035],-36.11997,-37.69906,correct,True,-36.11997,-37.69906,correct,True,-36.11997,-37.69906,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,0.0028223684,113433,[-3.97257661819458],[-3.763375759124756],115603,[-4.091655731201172],[-0.005813532043248415],-36.32076,-36.43984,correct,True,-36.32076,-36.43984,correct,True,-36.32076,-36.43984,correct,True
