task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,9.33,4908,"[1.0849609375, 2.419921875, 0.44384765625]","[-1.1552734375, 1.390625, 0.439453125]",3034,[1.416015625],[2.626953125],-9.83,-9.71,incorrect,False,-29.5,-9.71,incorrect,False,-10.05,-9.71,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,9.44,10322,"[0.371337890625, 2.3203125, 0.56689453125]","[-0.9111328125, 2.384765625, 2.0234375]",757,[2.150390625],[-0.1737060546875],-10.11,-8.84,incorrect,False,-30.33,-8.84,incorrect,False,-10.625,-8.84,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,9.34,15662,"[-0.15380859375, 3.26171875, 1.7900390625]","[1.341796875, 1.3017578125, -0.697265625]",1532,[1.8896484375],[3.361328125],-9.56,-9.15,incorrect,False,-28.69,-9.15,incorrect,False,-11.195,-9.15,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,9.34,5759,"[0.70458984375, 3.40625, 1.0390625]","[0.2322998046875, 0.364501953125, -0.61865234375]",68,[3.48046875],[-1.6357421875],-9.3,-7.332,incorrect,False,-27.9,-7.332,incorrect,False,-10.11,-7.332,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,9.34,6448,"[0.70068359375, 2.86328125, 0.52685546875]","[-1.7509765625, 1.1533203125, 1.720703125]",913,[2.1640625],[3.279296875],-9.72,-8.76,incorrect,False,-29.16,-8.76,incorrect,False,-10.22,-8.76,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.375,13772,"[-0.1458740234375, 3.142578125, 1.173828125]","[-2.025390625, -0.87939453125, 2.220703125]",103,[3.396484375],[-3.26953125],-9.62,-7.56,incorrect,False,-28.84,-7.56,incorrect,False,-11.1,-7.56,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.305,24317,"[-1.19140625, 2.39453125, 1.9111328125]","[-1.7529296875, -0.188232421875, 0.87158203125]",5264,[1.10546875],[-0.84130859375],-10.04,-10.04,correct,True,-30.12,-10.04,incorrect,False,-12.336,-10.04,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,9.28,29343,"[-1.8701171875, 1.9609375, 1.982421875]","[1.9267578125, -0.1351318359375, -1.0673828125]",11589,[0.5380859375],[9.265625],-10.51,-10.92,correct,True,-31.52,-10.92,incorrect,False,-13.33,-10.92,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,9.16,21326,"[-0.34423828125, 1.5458984375, 1.349609375]","[-0.41845703125, -1.6845703125, 0.6689453125]",12,[5.7421875],[1.1298828125],-10.49,-5.973,incorrect,False,-31.47,-5.973,incorrect,False,-12.06,-5.973,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.164,22197,"[-0.496337890625, 0.6630859375, 1.4990234375]","[-0.09857177734375, -0.35107421875, 1.666015625]",8,[5.765625],[0.86181640625],-10.81,-5.934,incorrect,False,-32.44,-5.934,incorrect,False,-12.195,-5.934,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,9.19,21536,"[-0.5087890625, 0.5068359375, 1.9921875]","[0.0867919921875, 1.390625, -1.4033203125]",5,[5.78515625],[-2.427734375],-10.72,-5.793,incorrect,False,-32.16,-5.793,incorrect,False,-12.086,-5.793,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,9.2,20965,"[-0.439697265625, 0.9990234375, 1.3447265625]","[1.939453125, -1.150390625, 1.8427734375]",66,[4.44140625],[0.61474609375],-10.77,-7.13,incorrect,False,-32.3,-7.13,incorrect,False,-12.01,-7.13,incorrect,False
