task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,1.2824934e-05,134566,[-9.770061492919922],[33.10512924194336],9886,[19.692241668701172],[44.84111404418945],-123.06517,-93.602875,incorrect,False,-123.06517,-93.602875,incorrect,False,-123.06517,-93.602875,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,0.03645513,87342,[-1.4922707080841064],[17.14527702331543],4620,[26.93718719482422],[41.814640045166016],-111.384705,-82.955246,incorrect,False,-111.384705,-82.955246,incorrect,False,-111.384705,-82.955246,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,0.0030845983,62809,[3.579552173614502],[20.68909454345703],2507,[38.30856704711914],[30.472856521606445],-125.73346,-91.00445,incorrect,False,-125.73346,-91.00445,incorrect,False,-125.73346,-91.00445,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,0.00614966,54039,[7.189861297607422],[18.004310607910156],2219,[43.101646423339844],[15.802531242370605],-129.6439,-93.732124,incorrect,False,-129.6439,-93.732124,incorrect,False,-129.6439,-93.732124,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,0.0028927461,52992,[9.658197402954102],[-10.693489074707031],2606,[45.09388732910156],[-14.4776611328125],-132.93456,-97.49887,incorrect,False,-132.93456,-97.49887,incorrect,False,-132.93456,-97.49887,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,0.035407014,73502,[7.127771854400635],[2.1202502250671387],6482,[39.25642776489258],[-3.3019323348999023],-133.80977,-101.68112,incorrect,False,-133.80977,-101.68112,incorrect,False,-133.80977,-101.68112,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,0.09901438,75575,[6.2435712814331055],[16.110403060913086],10237,[28.847963333129883],[13.702683448791504],-108.18136,-85.576965,incorrect,False,-108.18136,-85.576965,incorrect,False,-108.18136,-85.576965,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,0.33095002,67808,[8.361970901489258],[7.335756301879883],10132,[28.762582778930664],[6.29509973526001],-96.40181,-76.0012,incorrect,False,-96.40181,-76.0012,incorrect,False,-96.40181,-76.0012,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,0.13203149,70487,[9.244309425354004],[28.7219181060791],12920,[28.68157386779785],[3.6165969371795654],-97.086464,-77.6492,incorrect,False,-97.086464,-77.6492,incorrect,False,-97.086464,-77.6492,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,0.2585803,40109,[16.488971710205078],[39.02621078491211],18908,[23.91391944885254],[28.515661239624023],-83.0172,-75.59225,incorrect,False,-83.0172,-75.59225,incorrect,False,-83.0172,-75.59225,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,0.7719038,27538,[21.74490737915039],[35.8507080078125],17575,[26.12428855895996],[16.8233642578125],-82.15907,-77.77968,incorrect,False,-82.15907,-77.77968,incorrect,False,-82.15907,-77.77968,incorrect,False
