task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,5.0510855,97707,[-5.651201248168945],[5.638912200927734],49738,[-1.5907915830612183],[8.713132858276367],-18.96819,-14.907781,incorrect,False,-18.96819,-14.907781,incorrect,False,-18.96819,-14.907781,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,4.575496,79836,[-2.8930137157440186],[1.4643436670303345],2243,[2.9949700832366943],[1.56572425365448],-16.54244,-10.654456,incorrect,False,-16.54244,-10.654456,incorrect,False,-16.54244,-10.654456,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,3.411059,74956,[-2.29323673248291],[1.8191791772842407],1569,[3.5809078216552734],[2.1838347911834717],-16.515318,-10.641172,incorrect,False,-16.515318,-10.641172,incorrect,False,-16.515318,-10.641172,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,5.3040075,59591,[-1.3807371854782104],[2.0431621074676514],777,[4.290300369262695],[-3.2765069007873535],-15.0654,-9.394362,incorrect,False,-15.0654,-9.394362,incorrect,False,-15.0654,-9.394362,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,8.520715,21777,[0.09222385287284851],[-2.3703575134277344],6281,[1.7254536151885986],[-0.3969634473323822],-12.385164,-10.751936,incorrect,False,-12.385164,-10.751936,incorrect,False,-12.385164,-10.751936,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,8.853566,33157,[-1.0497589111328125],[-4.723206043243408],5963,[1.3690751791000366],[-2.575833320617676],-13.03413,-10.615295,incorrect,False,-13.03413,-10.615295,incorrect,False,-13.03413,-10.615295,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,8.629695,59068,[-2.6667885780334473],[1.3518315553665161],9491,[0.5453970432281494],[-0.10805865377187729],-14.441957,-11.229773,incorrect,False,-14.441957,-11.229773,incorrect,False,-14.441957,-11.229773,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,8.908828,62415,[-2.0637030601501465],[3.08571457862854],16593,[0.5063312649726868],[2.56813907623291],-14.439359,-11.869324,incorrect,False,-14.439359,-11.869324,incorrect,False,-14.439359,-11.869324,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,9.01321,53758,[-1.1375991106033325],[7.687509059906006],11341,[1.4206422567367554],[5.264158725738525],-13.886184,-11.327943,incorrect,False,-13.886184,-11.327943,incorrect,False,-13.886184,-11.327943,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,8.810944,9386,[4.0607147216796875],[-1.0867900848388672],6085,[4.571624279022217],[-0.05754205957055092],-11.1978035,-10.686894,incorrect,False,-11.1978035,-10.686894,incorrect,False,-11.1978035,-10.686894,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,8.572747,6373,[3.4464468955993652],[0.593737006187439],2683,[4.35191535949707],[-4.329039096832275],-10.809051,-9.903582,incorrect,False,-10.809051,-9.903582,incorrect,False,-10.809051,-9.903582,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,8.249897,3961,[3.631413459777832],[-2.289677858352661],8575,[2.766467332839966],[-0.4425607919692993],-10.350311,-11.215258,correct,True,-10.350311,-11.215258,correct,True,-10.350311,-11.215258,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,8.649244,25804,[1.6379252672195435],[-1.3821780681610107],20645,[1.9963769912719727],[-0.00596617953851819],-12.666053,-12.307601,incorrect,False,-12.666053,-12.307601,incorrect,False,-12.666053,-12.307601,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,8.694548,31527,[0.5845414400100708],[0.6626030802726746],16771,[1.6284953355789185],[-1.2835208177566528],-13.098879,-12.054924,incorrect,False,-13.098879,-12.054924,incorrect,False,-13.098879,-12.054924,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,8.487061,25765,[0.822095513343811],[0.5111115574836731],26495,[0.7740359902381897],[5.1192402839660645],-12.812813,-12.860872,correct,True,-12.812813,-12.860872,correct,True,-12.812813,-12.860872,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,8.035191,17467,[0.9669984579086304],[0.9562430381774902],3727,[2.9623863697052],[2.9620752334594727],-12.32964,-10.334252,incorrect,False,-12.32964,-10.334252,incorrect,False,-12.32964,-10.334252,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,8.24576,8022,[1.3115100860595703],[2.2210516929626465],594,[4.032778263092041],[-0.9479520320892334],-11.2026005,-8.481333,incorrect,False,-11.2026005,-8.481333,incorrect,False,-11.2026005,-8.481333,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,8.467461,6822,[2.138239622116089],[1.2955622673034668],2180,[3.4069764614105225],[5.221340179443359],-10.914604,-9.645868,incorrect,False,-10.914604,-9.645868,incorrect,False,-10.914604,-9.645868,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,8.4897995,2685,[2.6658568382263184],[-2.1538190841674805],92,[5.621730327606201],[-0.8200568556785583],-9.846661,-6.8907866,incorrect,False,-9.846661,-6.8907866,incorrect,False,-9.846661,-6.8907866,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,8.481836,6547,[1.4985591173171997],[0.06392274796962738],216,[4.846569061279297],[3.209195137023926],-10.884548,-7.536538,incorrect,False,-10.884548,-7.536538,incorrect,False,-10.884548,-7.536538,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,7.736599,11494,[1.3804188966751099],[8.753191947937012],156,[5.719890594482422],[2.1537930965423584],-11.725344,-7.385872,incorrect,False,-11.725344,-7.385872,incorrect,False,-11.725344,-7.385872,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,7.1043262,2012,[4.635489463806152],[4.773311614990234],352,[6.2232842445373535],[2.2056195735931396],-9.823292,-8.2354965,incorrect,False,-9.823292,-8.2354965,incorrect,False,-9.823292,-8.2354965,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,6.8354034,553,[6.18009090423584],[-4.813816070556641],311,[6.718636512756348],[-2.0565624237060547],-8.667795,-8.12925,incorrect,False,-8.667795,-8.12925,incorrect,False,-8.667795,-8.12925,incorrect,False
