task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,7.5138087,35306,[0.21021568775177002],[-0.9925211071968079],39423,"[0.026805153116583824, 5.61777400970459]","[2.226025104522705, 1.962172031402588]",-13.002752,-9.337,incorrect,False,-13.002752,-18.674,correct,True,-13.002752,-13.186163,correct,True,8.203355,69003,[-3.241163492202759],[2.535560369491577],70467,"[-3.3307271003723145, 6.4784255027771]","[4.499685764312744, -1.2362606525421143]",-15.264648,-10.342052,incorrect,False,-15.264648,-20.684105,correct,True,-15.264648,-15.354212,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.137863,44246,[-0.7390013933181763],[2.845852851867676],7461,"[1.9197614192962646, 6.12204122543335]","[3.265340566635132, -2.283536911010742]",-13.434586,-8.140616,incorrect,False,-13.434586,-16.281233,correct,True,-13.434586,-10.775824,incorrect,False,8.82871,68467,[-2.0880625247955322],[4.804063320159912],55017,"[-1.365337610244751, 5.9566850662231445]","[5.02145528793335, -1.9677845239639282]",-14.880953,-9.826806,incorrect,False,-14.880953,-19.653612,correct,True,-14.880953,-14.158228,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,8.710405,33408,[1.4874207973480225],[-1.3155491352081299],9550,"[3.3821022510528564, 5.372474670410156]","[0.3935350775718689, 2.9538519382476807]",-13.075043,-8.790732,incorrect,False,-13.075043,-17.581465,correct,True,-13.075043,-11.180364,incorrect,False,8.978279,48717,[-0.36225125193595886],[-0.05463533475995064],32529,"[0.4332529902458191, 4.910934925079346]","[1.3681672811508179, 3.7944676876068115]",-13.620276,-9.812508,incorrect,False,-13.620276,-19.625015,correct,True,-13.620276,-12.824772,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,8.947948,26163,[0.5333648920059204],[4.39250373840332],4128,"[2.939499855041504, 6.316002368927002]","[2.179079294204712, 2.228414297103882]",-12.588743,-8.175583,incorrect,False,-12.588743,-16.351166,correct,True,-12.588743,-10.18261,incorrect,False,9.359661,63828,[-0.40722930431365967],[0.10338500142097473],34290,"[0.9652454257011414, 6.040289402008057]","[1.26836097240448, 2.6679253578186035]",-14.047153,-9.77505,incorrect,False,-14.047153,-19.5501,correct,True,-14.047153,-12.674679,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,8.781947,12535,[2.4642162322998047],[1.3046015501022339],4436,"[3.6679887771606445, 6.736101150512695]","[0.3121436536312103, 1.3313162326812744]",-11.524363,-7.9251924,incorrect,False,-11.524363,-15.850385,correct,True,-11.524363,-10.32059,incorrect,False,9.981342,73516,[-0.37349653244018555],[1.1821706295013428],28996,"[1.5282893180847168, 6.928375720977783]","[2.1812996864318848, 2.979430913925171]",-13.962015,-8.991362,incorrect,False,-13.962015,-17.982723,correct,True,-13.962015,-12.060229,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.681755,4993,[2.8085451126098633],[7.125775337219238],2759,"[3.4285335540771484, 6.939614295959473]","[4.402016639709473, 0.7539429664611816]",-10.468154,-7.2569947,incorrect,False,-10.468154,-14.513989,correct,True,-10.468154,-9.8481655,incorrect,False,10.232465,69941,[0.06768670678138733],[0.32524797320365906],15236,"[2.370671033859253, 8.018816947937012]","[-3.3102498054504395, -2.0531811714172363]",-13.479233,-7.737403,incorrect,False,-13.479233,-15.474806,correct,True,-13.479233,-11.176249,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,8.740757,692,[5.786559581756592],[2.115816831588745],1386,"[5.160465240478516, 6.950056552886963]","[-4.293149471282959, -7.769131183624268]",-8.569602,-7.11913,incorrect,False,-8.569602,-14.23826,correct,True,-8.569602,-9.195698,correct,True,10.473661,66071,[0.16544190049171448],[-1.3759269714355469],30899,"[1.3748764991760254, 7.127032279968262]","[0.05730615183711052, -4.686402797698975]",-13.034044,-8.28578,incorrect,False,-13.034044,-16.57156,correct,True,-13.034044,-11.82461,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,8.394688,460,[6.348278522491455],[-0.24804197251796722],12815,"[2.9431426525115967, 3.2117671966552734]","[7.252579212188721, 1.8049720525741577]",-8.271064,-10.28966,correct,True,-8.271064,-20.57932,correct,True,-8.271064,-11.6762,correct,True,10.6049595,57699,[-0.11445686966180801],[-4.582237243652344],16419,"[1.356685757637024, 5.105736255645752]","[-4.8763556480407715, 0.9650295376777649]",-12.607749,-8.995523,incorrect,False,-12.607749,-17.991047,correct,True,-12.607749,-11.136606,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,8.872398,240,[5.953072547912598],[-1.5196092128753662],263,"[5.867931365966797, 3.7385151386260986]","[2.090200185775757, -1.0499041080474854]",-7.7130823,-7.893057,correct,True,-7.7130823,-15.786114,correct,True,-7.7130823,-7.7982244,correct,True,10.638423,65705,[-0.913557767868042],[1.2248797416687012],22491,"[0.5000690817832947, 5.199560642242432]","[1.3360519409179688, 1.080271601676941]",-12.813566,-9.118282,incorrect,False,-12.813566,-18.236565,correct,True,-12.813566,-11.399939,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,8.684897,1147,[4.98896598815918],[-2.6226134300231934],193,"[6.404308319091797, 3.217759370803833]","[-2.052006483078003, -2.941984176635742]",-9.016779,-7.936599,incorrect,False,-9.016779,-15.873198,correct,True,-9.016779,-7.601436,incorrect,False,10.672728,57166,[-0.6792407631874084],[1.695390224456787],16755,"[0.700989305973053, 5.220077037811279]","[3.409040689468384, -1.5315368175506592]",-12.508575,-9.553718,incorrect,False,-12.508575,-19.107435,correct,True,-12.508575,-11.1283455,incorrect,False,An
