task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,8.375459,20800,[1.080800175666809],[1.8998230695724487],45983,[-0.46812593936920166],[-0.6498013138771057],-12.511551,-14.060476,correct,True,-12.511551,-14.060476,correct,True,-12.511551,-14.060476,correct,True,7.587278,4451,[4.628012180328369],[0.2063981294631958],15069,[2.8461270332336426],[-0.241664856672287],-10.796788,-12.578674,correct,True,-10.796788,-12.578674,correct,True,-10.796788,-12.578674,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,7.324262,19091,[2.18198561668396],[2.839477062225342],62240,[-0.8060396909713745],[2.962867021560669],-13.232801,-16.220827,correct,True,-13.232801,-16.220827,correct,True,-13.232801,-16.220827,correct,True,10.005406,64399,[0.3144027292728424],[0.5241235494613647],76869,[-0.17123116552829742],[2.894273281097412],-13.497341,-13.982975,correct,True,-13.497341,-13.982975,correct,True,-13.497341,-13.982975,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,7.6064215,21081,[3.142578125],[-2.571502447128296],45899,[1.293027639389038],[0.16684985160827637],-13.420167,-15.269717,correct,True,-13.420167,-15.269717,correct,True,-13.420167,-15.269717,correct,True,10.004131,64405,[0.3165673017501831],[0.3938886821269989],76481,[-0.15416008234024048],[0.048044316470623016],-13.496809,-13.967537,correct,True,-13.496809,-13.967537,correct,True,-13.496809,-13.967537,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,7.2796164,27483,[1.4589259624481201],[3.42808198928833],31371,[1.157165765762329],[-4.008991241455078],-13.945206,-14.246966,correct,True,-13.945206,-14.246966,correct,True,-13.945206,-14.246966,correct,True,10.02177,64468,[0.33235183358192444],[-1.1015926599502563],75927,[-0.115656279027462],[-1.2770582437515259],-13.486671,-13.934679,correct,True,-13.486671,-13.934679,correct,True,-13.486671,-13.934679,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,6.489445,10421,[2.7026407718658447],[0.7148711085319519],53225,[-0.6960538625717163],[3.933494806289673],-12.286346,-15.68504,correct,True,-12.286346,-15.68504,correct,True,-12.286346,-15.68504,correct,True,10.024831,65031,[0.31094375252723694],[2.895629405975342],76400,[-0.13365574181079865],[-1.1351364850997925],-13.503916,-13.948515,correct,True,-13.503916,-13.948515,correct,True,-13.503916,-13.948515,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,6.8098965,16348,[2.6992576122283936],[4.307108402252197],37273,[1.0489319562911987],[-1.366092562675476],-12.9129305,-14.563256,correct,True,-12.9129305,-14.563256,correct,True,-12.9129305,-14.563256,correct,True,10.024771,64514,[0.32540810108184814],[1.6370244026184082],76438,[-0.13930222392082214],[-0.01745206117630005],-13.484408,-13.949119,correct,True,-13.484408,-13.949119,correct,True,-13.484408,-13.949119,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,6.7584605,5751,[4.430072784423828],[0.48227909207344055],49001,[0.49526527523994446],[5.477388381958008],-11.383133,-15.317941,correct,True,-11.383133,-15.317941,correct,True,-11.383133,-15.317941,correct,True,10.024175,64631,[0.33511674404144287],[-0.09833109378814697],76716,[-0.13891291618347168],[-1.2593611478805542],-13.487742,-13.961772,correct,True,-13.487742,-13.961772,correct,True,-13.487742,-13.961772,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,6.6856184,6321,[4.641720294952393],[-0.6720283627510071],20913,[2.683459997177124],[1.2778642177581787],-11.612542,-13.570803,correct,True,-11.612542,-13.570803,correct,True,-11.612542,-13.570803,correct,True,10.027337,64402,[0.3293178379535675],[2.081784725189209],76845,[-0.15662997961044312],[1.1889077425003052],-13.477034,-13.962981,correct,True,-13.477034,-13.962981,correct,True,-13.477034,-13.962981,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,7.012406,8873,[4.199766159057617],[-0.31736546754837036],18156,[3.029627561569214],[-0.6440548896789551],-11.983605,-13.153744,correct,True,-11.983605,-13.153744,correct,True,-11.983605,-13.153744,correct,True,10.029593,63845,[0.34521469473838806],[0.04051477834582329],76483,[-0.1458272486925125],[-3.116175651550293],-13.455238,-13.9462805,correct,True,-13.455238,-13.9462805,correct,True,-13.455238,-13.9462805,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,6.2281866,8702,[4.0917649269104],[2.2261407375335693],18645,[2.8235857486724854],[-0.6077314019203186],-12.121454,-13.389634,correct,True,-12.121454,-13.389634,correct,True,-12.121454,-13.389634,correct,True,10.031728,63528,[0.3447960317134857],[1.133735179901123],76531,[-0.16024503111839294],[1.9692965745925903],-13.44138,-13.946421,correct,True,-13.44138,-13.946421,correct,True,-13.44138,-13.946421,correct,True,An
