task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,8.359459,67378,[-0.41021332144737244],[-0.19207467138767242],61391,[-0.14257685840129852],[-4.1065473556518555],-14.612089,-14.344453,incorrect,False,-14.612089,-14.344453,incorrect,False,-14.612089,-14.344453,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,8.0166,55564,[-0.3701787292957306],[4.101705074310303],97513,[-2.4631102085113525],[2.8921749591827393],-14.52047,-16.613401,correct,True,-14.52047,-16.613401,correct,True,-14.52047,-16.613401,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,7.2012224,22893,[2.21734881401062],[7.532199382781982],61313,[0.0510062575340271],[3.8081047534942627],-13.311616,-15.477959,correct,True,-13.311616,-15.477959,correct,True,-13.311616,-15.477959,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,5.92534,1097,[5.7285475730896],[-2.0876994132995605],15795,[2.1687231063842773],[-1.0078305006027222],-9.629049,-13.188874,correct,True,-9.629049,-13.188874,correct,True,-9.629049,-13.188874,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,7.588434,4716,[4.4640655517578125],[-2.462251663208008],30386,[1.6081945896148682],[-1.3239680528640747],-10.826752,-13.682623,correct,True,-10.826752,-13.682623,correct,True,-10.826752,-13.682623,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,6.6583805,17088,[3.171884298324585],[-0.6169385313987732],53603,[0.9771484136581421],[-4.085362434387207],-12.843969,-15.038706,correct,True,-12.843969,-15.038706,correct,True,-12.843969,-15.038706,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,7.5366797,20911,[2.8077070713043213],[-3.7167139053344727],85173,[-0.8196178674697876],[-1.3263834714889526],-13.064117,-16.691442,correct,True,-13.064117,-16.691442,correct,True,-13.064117,-16.691442,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,7.0532846,54350,[0.8744146823883057],[7.2962117195129395],94483,[-1.3912853002548218],[9.162601470947266],-15.400045,-17.665745,correct,True,-15.400045,-17.665745,correct,True,-15.400045,-17.665745,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,6.3558583,20464,[3.9665908813476562],[-5.636989116668701],39927,[2.7293498516082764],[-6.517480373382568],-13.5223,-14.759541,correct,True,-13.5223,-14.759541,correct,True,-13.5223,-14.759541,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,6.678779,41890,[2.073910713195801],[1.9868049621582031],70718,[0.4718429148197174],[0.022791804745793343],-14.763831,-16.365898,correct,True,-14.763831,-16.365898,correct,True,-14.763831,-16.365898,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,5.1349034,25795,[2.7245121002197266],[-2.718691825866699],64661,[0.4739644229412079],[0.17507843673229218],-14.359178,-16.609726,correct,True,-14.359178,-16.609726,correct,True,-14.359178,-16.609726,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,4.9935074,48359,[1.939887523651123],[0.8536109924316406],73732,[0.538523256778717],[1.6759790182113647],-15.793294,-17.194658,correct,True,-15.793294,-17.194658,correct,True,-15.793294,-17.194658,correct,True
