task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,1.5964583e-28,25933,[4.515040874481201],[2.3615009784698486],226602,[-13.686258316040039],[-9.141013145446777],-148.85146,-167.05276,correct,True,-148.85146,-167.05276,correct,True,-148.85146,-167.05276,correct,True,0.0025901971,51774,[-6.1461181640625],[3.021453380584717],240717,[-37.79098129272461],[7.258519172668457],-178.01608,-209.66095,correct,True,-178.01608,-209.66095,correct,True,-178.01608,-209.66095,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,5.783672e-07,14952,[5.585666656494141],[3.6569197177886963],234194,[-18.54888916015625],[6.7834153175354],-82.80763,-106.942184,correct,True,-82.80763,-106.942184,correct,True,-82.80763,-106.942184,correct,True,0.00044338455,50361,[-4.046904563903809],[-0.7283831834793091],242569,[-30.9859561920166],[8.52988338470459],-156.55725,-183.4963,correct,True,-156.55725,-183.4963,correct,True,-156.55725,-183.4963,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,3.2404754e-16,11002,[9.451606750488281],[9.28493595123291],245541,[-13.092716217041016],[-0.4847203195095062],-67.30001,-89.84433,correct,True,-67.30001,-89.84433,correct,True,-67.30001,-89.84433,correct,True,0.00044223157,76738,[-5.038409233093262],[4.129929542541504],245708,[-28.236942291259766],[-4.297692775726318],-131.68216,-154.88069,correct,True,-131.68216,-154.88069,correct,True,-131.68216,-154.88069,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,0.11637044,2218,[13.660089492797852],[0.3523516356945038],226949,[-9.88719654083252],[-2.279874324798584],-35.565807,-59.113094,correct,True,-35.565807,-59.113094,correct,True,-35.565807,-59.113094,correct,True,6.943975e-06,44889,[-2.340790033340454],[-9.441600799560547],240885,[-27.62565803527832],[-4.006256103515625],-112.62121,-137.90608,correct,True,-112.62121,-137.90608,correct,True,-112.62121,-137.90608,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,0.8364668,5399,[12.238924980163574],[7.879586219787598],234045,[-10.126075744628906],[-5.450747966766357],-34.642105,-57.007107,correct,True,-34.642105,-57.007107,correct,True,-34.642105,-57.007107,correct,True,5.806204e-05,82817,[-7.989938259124756],[-4.896384239196777],238719,[-28.500581741333008],[-15.001114845275879],-95.562836,-116.07348,correct,True,-95.562836,-116.07348,correct,True,-95.562836,-116.07348,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,2.231641e-06,1102,[16.027606964111328],[0.3668328523635864],240718,[-12.652752876281738],[6.581823348999023],-40.191185,-68.871544,correct,True,-40.191185,-68.871544,correct,True,-40.191185,-68.871544,correct,True,1.3562106e-06,92926,[-8.4458589553833],[6.313166618347168],248746,[-28.805225372314453],[13.525314331054688],-92.19029,-112.54965,correct,True,-92.19029,-112.54965,correct,True,-92.19029,-112.54965,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,0.054464236,1488,[15.583184242248535],[0.7108060121536255],223649,[-8.032327651977539],[-2.4667017459869385],-24.49533,-48.110844,correct,True,-24.49533,-48.110844,correct,True,-24.49533,-48.110844,correct,True,0.055850584,56335,[-4.722660064697266],[-4.157910346984863],232043,[-21.547386169433594],[-4.315784931182861],-61.02266,-77.84738,correct,True,-61.02266,-77.84738,correct,True,-61.02266,-77.84738,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,0.05511779,675,[14.576457023620605],[4.531734943389893],206226,[-8.587060928344727],[7.076557159423828],-22.2727,-45.436222,correct,True,-22.2727,-45.436222,correct,True,-22.2727,-45.436222,correct,True,0.37956765,61640,[-5.439486980438232],[5.102112293243408],233534,[-17.027090072631836],[6.062618255615234],-38.34954,-49.937145,correct,True,-38.34954,-49.937145,correct,True,-38.34954,-49.937145,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,0.18939161,1186,[15.129439353942871],[-5.191334247589111],188366,[-4.524083614349365],[-1.4636856317520142],-20.579678,-40.2332,correct,True,-20.579678,-40.2332,correct,True,-20.579678,-40.2332,correct,True,0.9163363,47757,[-4.6453351974487305],[-0.9169281721115112],229067,[-18.04114532470703],[0.9244901537895203],-38.653442,-52.04925,correct,True,-38.653442,-52.04925,correct,True,-38.653442,-52.04925,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,0.91101617,1811,[13.038174629211426],[1.4768424034118652],180399,[-5.113704204559326],[3.42952561378479],-19.747988,-37.899864,correct,True,-19.747988,-37.899864,correct,True,-19.747988,-37.899864,correct,True,0.22957374,78352,[-2.707460880279541],[-0.3854125738143921],211293,[-7.756377220153809],[0.9659399390220642],-32.200024,-37.24894,correct,True,-32.200024,-37.24894,correct,True,-32.200024,-37.24894,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,0.43917173,2560,[13.395666122436523],[1.7106332778930664],176670,[-3.77101993560791],[8.472193717956543],-21.544554,-38.71124,correct,True,-21.544554,-38.71124,correct,True,-21.544554,-38.71124,correct,True,0.8119488,111846,[-1.926424503326416],[1.0970009565353394],192172,[-4.7537384033203125],[4.0387139320373535],-33.55511,-36.382423,correct,True,-33.55511,-36.382423,correct,True,-33.55511,-36.382423,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,0.77407813,2302,[12.970149993896484],[6.468033790588379],108081,[0.1090649664402008],[-7.12435245513916],-20.110128,-32.971214,correct,True,-20.110128,-32.971214,correct,True,-20.110128,-32.971214,correct,True,0.0010838695,121522,[-0.9925417900085449],[-3.931365728378296],151654,[-2.0166916847229004],[2.4559264183044434],-41.05607,-42.08022,correct,True,-41.05607,-42.08022,correct,True,-41.05607,-42.08022,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,1.2075248,1027,[15.00120735168457],[-3.679272174835205],158340,[-2.61740779876709],[-3.5792155265808105],-16.091331,-33.709946,correct,True,-16.091331,-33.709946,correct,True,-16.091331,-33.709946,correct,True,0.60812473,138457,[-1.4925206899642944],[-1.1881576776504517],139892,[-1.5401090383529663],[-3.6842637062072754],-31.163166,-31.210754,correct,True,-31.163166,-31.210754,correct,True,-31.163166,-31.210754,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,1.5695865,4558,[11.116053581237793],[2.0180022716522217],181830,[-3.7584054470062256],[-5.911018371582031],-18.431286,-33.305744,correct,True,-18.431286,-33.305744,correct,True,-18.431286,-33.305744,correct,True,0.001648407,136077,[-2.2404189109802246],[-0.11305347084999084],158957,[-3.064558267593384],[-5.380688667297363],-42.72148,-43.545624,correct,True,-42.72148,-43.545624,correct,True,-42.72148,-43.545624,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,0.21247084,3154,[11.436858177185059],[4.061548709869385],205893,[-6.1442952156066895],[5.195991039276123],-20.25226,-37.833416,correct,True,-20.25226,-37.833416,correct,True,-20.25226,-37.833416,correct,True,0.008596205,105899,[-3.4522881507873535],[0.30521610379219055],205654,[-7.922357082366943],[3.8916525840759277],-49.33452,-53.804585,correct,True,-49.33452,-53.804585,correct,True,-49.33452,-53.804585,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,15,0.73690236,3780,[11.412083625793457],[12.975541114807129],171533,[-2.6577601432800293],[10.89974308013916],-23.019058,-37.0889,correct,True,-23.019058,-37.0889,correct,True,-23.019058,-37.0889,correct,True,0.21392652,114658,[-2.0318830013275146],[2.2090137004852295],150937,[-3.107821464538574],[-4.368552207946777],-26.56693,-27.642868,correct,True,-26.56693,-27.642868,correct,True,-26.56693,-27.642868,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,16,1.9655876,861,[15.2255220413208],[6.841980934143066],83212,[2.274733066558838],[3.2685365676879883],-16.191692,-29.142483,correct,True,-16.191692,-29.142483,correct,True,-16.191692,-29.142483,correct,True,0.37325686,66338,[-1.7450803518295288],[3.2040212154388428],187556,[-6.118109226226807],[-2.789130210876465],-29.02905,-33.40208,correct,True,-29.02905,-33.40208,correct,True,-29.02905,-33.40208,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,17,0.77708566,220,[16.81650161743164],[26.403257369995117],44965,[3.3626303672790527],[5.818911552429199],-14.898034,-28.351904,correct,True,-14.898034,-28.351904,correct,True,-14.898034,-28.351904,correct,True,0.43918896,52090,[-0.21910664439201355],[-3.1057283878326416],238948,[-10.94555950164795],[-11.974869728088379],-36.247555,-46.97401,correct,True,-36.247555,-46.97401,correct,True,-36.247555,-46.97401,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,18,2.392547,11,[25.59383773803711],[11.957741737365723],22503,[5.329491138458252],[7.641462802886963],-3.8493493,-24.113697,correct,True,-3.8493493,-24.113697,correct,True,-3.8493493,-24.113697,correct,True,0.73668045,64733,[-1.80240797996521],[-1.8078728914260864],251765,[-17.380657196044922],[2.9070181846618652],-38.164772,-53.743023,correct,True,-38.164772,-53.743023,correct,True,-38.164772,-53.743023,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,19,0.91128474,2,[26.386804580688477],[25.73828125],5748,[7.304134845733643],[16.306772232055664],-2.4721632,-21.554832,correct,True,-2.4721632,-21.554832,correct,True,-2.4721632,-21.554832,correct,True,0.7199993,89497,[-2.307671070098877],[-0.2432890683412552],248457,[-14.403240203857422],[-3.0390734672546387],-32.582237,-44.677807,correct,True,-32.582237,-44.677807,correct,True,-32.582237,-44.677807,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,20,0.1577641,1,[33.59235382080078],[31.118026733398438],502,[12.958900451660156],[5.608822345733643],-0.034861427,-20.668314,correct,True,-0.034861427,-20.668314,correct,True,-0.034861427,-20.668314,correct,True,0.4793404,82239,[-2.094978094100952],[-3.4260427951812744],248113,[-13.65810775756836],[-4.207615852355957],-29.495882,-41.059013,correct,True,-29.495882,-41.059013,correct,True,-29.495882,-41.059013,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,21,0.0002470257,1,[42.65217208862305],[18.51519775390625],440,[13.930804252624512],[10.2828950881958],-1.9192512e-05,-28.721386,correct,True,-1.9192512e-05,-28.721386,correct,True,-1.9192512e-05,-28.721386,correct,True,0.63273615,90372,[-3.3888237476348877],[-1.2033463716506958],242876,[-14.081361770629883],[-4.214241027832031],-32.25262,-42.94516,correct,True,-32.25262,-42.94516,correct,True,-32.25262,-42.94516,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,22,3.423834e-05,1,[43.039371490478516],[-5.579050540924072],213,[15.714579582214355],[-13.502781867980957],-2.264974e-06,-27.324793,correct,True,-2.264974e-06,-27.324793,correct,True,-2.264974e-06,-27.324793,correct,True,0.37465638,84825,[-3.4238204956054688],[15.666449546813965],241798,[-13.925085067749023],[12.563728332519531],-33.66518,-44.166447,correct,True,-33.66518,-44.166447,correct,True,-33.66518,-44.166447,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,23,0.001825965,1,[36.54598617553711],[11.49722671508789],1272,[9.265359878540039],[22.361433029174805],-0.0001654488,-27.280792,correct,True,-0.0001654488,-27.280792,correct,True,-0.0001654488,-27.280792,correct,True,0.28640208,32413,[2.965099811553955],[3.3329832553863525],211836,[-7.513067722320557],[17.063085556030273],-28.774628,-39.252796,correct,True,-28.774628,-39.252796,correct,True,-28.774628,-39.252796,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,24,0.0018933717,1,[36.38520812988281],[17.511110305786133],70,[18.044645309448242],[29.39438247680664],-0.00015948931,-18.340723,correct,True,-0.00015948931,-18.340723,correct,True,-0.00015948931,-18.340723,correct,True,2.4744833,51943,[3.981840133666992],[-4.0235395431518555],112678,[0.5069733262062073],[-6.506420612335205],-29.152515,-32.627384,correct,True,-29.152515,-32.627384,correct,True,-29.152515,-32.627384,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,25,0.016617924,1,[34.86216354370117],,4,[25.840408325195312],,-0.0018778087,-9.023633,correct,True,-0.0018778087,-9.023633,correct,True,-0.0018778087,-9.023633,correct,True,0.6496709,74993,[1.3052470684051514],,163961,[-3.977381706237793],,-37.750088,-43.03272,correct,True,-37.750088,-43.03272,correct,True,-37.750088,-43.03272,correct,True,An
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,0,7.105397e-29,117644,[-4.418498992919922],[-8.052549362182617],38977,[2.4022488594055176],[-2.43887996673584],-159.85889,-153.03813,incorrect,False,-159.85889,-153.03813,incorrect,False,-159.85889,-153.03813,incorrect,False,5.6054184e-10,164472,[-23.189882278442383],[-6.126974582672119],86656,[-12.417688369750977],[3.2315878868103027],-211.01718,-200.245,incorrect,False,-211.01718,-200.245,incorrect,False,-211.01718,-200.245,incorrect,False,A
