task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,7.9513226,39879,[-0.18162620067596436],[-0.9384337663650513],21285,[1.0659809112548828],[-1.2594258785247803],-14.080556,-12.832949,incorrect,False,-14.080556,-12.832949,incorrect,False,-14.080556,-12.832949,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,7.1731663,46211,[-0.6365574598312378],[4.2944746017456055],33049,[0.1968785673379898],[1.7475954294204712],-15.172529,-14.339093,incorrect,False,-15.172529,-14.339093,incorrect,False,-15.172529,-14.339093,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,5.6946216,24488,[1.7344958782196045],[1.4704310894012451],33871,[1.0333654880523682],[3.8452351093292236],-14.225908,-14.92704,correct,True,-14.225908,-14.92704,correct,True,-14.225908,-14.92704,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,6.4863234,28911,[2.0246851444244385],[1.5277169942855835],19089,[2.8857572078704834],[2.7193048000335693],-14.553634,-13.692561,incorrect,False,-14.553634,-13.692561,incorrect,False,-14.553634,-13.692561,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,4.750736,28041,[2.5193216800689697],[-6.840425491333008],14496,[3.8171730041503906],[-2.3596324920654297],-15.226347,-13.928495,incorrect,False,-15.226347,-13.928495,incorrect,False,-15.226347,-13.928495,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,5.487503,77442,[-1.298370599746704],[-0.6490704417228699],23971,[1.9015711545944214],[-2.0121421813964844],-17.53141,-14.331468,incorrect,False,-17.53141,-14.331468,incorrect,False,-17.53141,-14.331468,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,4.5517673,76307,[-1.4248480796813965],[-3.3501710891723633],34971,[0.8565231561660767],[-4.314878463745117],-17.564657,-15.283285,incorrect,False,-17.564657,-15.283285,incorrect,False,-17.564657,-15.283285,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,6.022337,97481,[-2.5986862182617188],[5.28477668762207],62941,[-0.5736384987831116],[-1.2745180130004883],-18.409828,-16.384783,incorrect,False,-18.409828,-16.384783,incorrect,False,-18.409828,-16.384783,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,6.24494,69885,[-0.6226571202278137],[-4.830682754516602],75490,[-0.9242011904716492],[-4.139584541320801],-16.672314,-16.973858,correct,True,-16.672314,-16.973858,correct,True,-16.672314,-16.973858,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,5.664255,83265,[-1.885171890258789],[2.1164581775665283],85028,[-1.9855661392211914],[-1.765439510345459],-17.57231,-17.672703,correct,True,-17.57231,-17.672703,correct,True,-17.57231,-17.672703,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,5.4520245,82900,[-1.3681496381759644],[1.9527764320373535],100807,[-2.458122730255127],[1.9802876710891724],-17.653355,-18.743328,correct,True,-17.653355,-18.743328,correct,True,-17.653355,-18.743328,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,2.7126489,68409,[-0.8020722270011902],[0.6516185402870178],86646,[-1.81283438205719],[0.8173938393592834],-17.788904,-18.799665,correct,True,-17.788904,-18.799665,correct,True,-17.788904,-18.799665,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,2.083943,57263,[-0.5721311569213867],[7.90756893157959],73418,[-1.4580010175704956],[6.967524528503418],-17.442402,-18.32827,correct,True,-17.442402,-18.32827,correct,True,-17.442402,-18.32827,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,4.5555725,23568,[1.5786631107330322],[2.000478982925415],40251,[0.5003173351287842],[4.242429256439209],-14.363256,-15.441603,correct,True,-14.363256,-15.441603,correct,True,-14.363256,-15.441603,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,5.409601,19295,[2.007152795791626],[20.707170486450195],23443,[1.615051507949829],[19.516544342041016],-13.928529,-14.32063,correct,True,-13.928529,-14.32063,correct,True,-13.928529,-14.32063,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,6.17869,82,[9.104771614074707],[5.031252384185791],160,[8.346391677856445],[5.71699333190918],-6.5553446,-7.3137245,correct,True,-6.5553446,-7.3137245,correct,True,-6.5553446,-7.3137245,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,4.2048645,63,[9.230158805847168],[12.212718963623047],90,[8.789749145507812],[10.508697509765625],-6.8833523,-7.323762,correct,True,-6.8833523,-7.323762,correct,True,-6.8833523,-7.323762,correct,True
