task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,4.402023,7888,[1.6015534400939941],[-2.6599371433258057],51632,"[-1.4669008255004883, 9.018623352050781]","[-1.7928067445755005, -3.879019260406494]",-12.015691,-10.002549,incorrect,False,-12.015691,-20.005098,correct,True,-12.015691,-15.084146,correct,True,8.139677,47922,[-0.7305043339729309],[6.984675884246826],10020,"[2.1162397861480713, 8.61602783203125]","[1.8580410480499268, -3.1088829040527344]",-14.418387,-8.501671,incorrect,False,-14.418387,-17.003342,correct,True,-14.418387,-11.571644,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,8.475811,38372,[-0.5611640214920044],[0.3989005386829376],74956,"[-2.5367698669433594, 8.854121208190918]","[1.3012803792953491, -4.995282173156738]",-13.492442,-10.286189,incorrect,False,-13.492442,-20.572378,correct,True,-13.492442,-15.468048,correct,True,8.412941,17440,[3.4473042488098145],[-0.9188578724861145],23340,"[2.972269296646118, 8.367222785949707]","[2.195474147796631, -1.8067752122879028]",-12.272961,-9.445592,incorrect,False,-12.272961,-18.891184,correct,True,-12.272961,-12.747995,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,8.721273,40546,[-0.45390069484710693],[-2.2241265773773193],73172,"[-2.1987764835357666, 8.618075370788574]","[1.5129932165145874, -0.22637392580509186]",-13.516897,-10.35984,incorrect,False,-13.516897,-20.71968,correct,True,-13.516897,-15.261773,correct,True,8.436318,17998,[3.3810479640960693],[-3.401765823364258],17161,"[3.4538865089416504, 8.474854469299316]","[-0.38464075326919556, 1.8138401508331299]",-12.303849,-9.002733,incorrect,False,-12.303849,-18.005466,correct,True,-12.303849,-12.23101,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,8.68515,63870,[-1.4468899965286255],[6.162636756896973],63797,"[-1.4430279731750488, 8.478732109069824]","[-1.1839452981948853, -3.7285284996032715]",-14.716221,-10.401453,incorrect,False,-14.716221,-20.802906,correct,True,-14.716221,-14.712359,incorrect,False,7.549626,42739,[2.019000768661499],[2.9718029499053955],23879,"[3.171741247177124, 8.685906410217285]","[-0.7092001438140869, -2.7021586894989014]",-14.0982065,-9.397005,incorrect,False,-14.0982065,-18.79401,correct,True,-14.0982065,-12.945466,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,8.701119,5095,[3.7496352195739746],[2.685986280441284],82373,"[-1.8521045446395874, 7.874151229858398]","[-3.2654619216918945, -3.540597677230835]",-10.510795,-11.142983,correct,True,-10.510795,-22.285967,correct,True,-10.510795,-16.112534,correct,True,7.8208103,38188,[2.9198412895202637],[-2.53694224357605],35543,"[3.078341484069824, 8.288762092590332]","[-4.67797327041626, 0.3764163553714752]",-13.848743,-10.019766,incorrect,False,-13.848743,-20.039532,correct,True,-13.848743,-13.690243,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,8.734192,1981,[4.7023749351501465],[-0.3450915217399597],93270,"[-3.209789991378784, 7.452976226806641]","[0.10136248171329498, -0.6868675947189331]",-9.443563,-11.940095,correct,True,-9.443563,-23.88019,correct,True,-9.443563,-17.355728,correct,True,7.854486,31062,[1.9558799266815186],[0.4536758363246918],41734,"[1.3400611877441406, 8.54157543182373]","[-3.2974510192871094, 1.5458239316940308]",-13.355045,-10.183899,incorrect,False,-13.355045,-20.367798,correct,True,-13.355045,-13.970865,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,8.663253,3488,[4.46707820892334],[5.144692420959473],94267,"[-3.09537935256958, 7.452265739440918]","[4.054432392120361, -1.5161086320877075]",-10.056401,-12.377656,correct,True,-10.056401,-24.755312,correct,True,-10.056401,-17.618858,correct,True,7.9842243,24362,[2.2272932529449463],[-1.4316117763519287],50376,"[0.7381866574287415, 8.53213119506836]","[0.6804848313331604, -2.3686203956604004]",-12.86184,-10.706109,incorrect,False,-12.86184,-21.412218,correct,True,-12.86184,-14.350946,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,8.360235,944,[6.111042022705078],[5.096738338470459],85097,"[-1.558680772781372, 7.468702793121338]","[0.5596303343772888, 4.883370876312256]",-8.836756,-11.794216,correct,True,-8.836756,-23.588432,correct,True,-8.836756,-16.506477,correct,True,8.246174,23311,[2.147474765777588],[-3.3010470867156982],43245,"[0.9704497456550598, 8.605775833129883]","[-6.111438751220703, 3.1916284561157227]",-12.692118,-10.523635,incorrect,False,-12.692118,-21.04727,correct,True,-12.692118,-13.869143,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,8.541188,300,[7.2471442222595215],[3.221745491027832],85205,"[-1.339104175567627, 8.936925888061523]","[6.226527214050293, 1.166216254234314]",-7.8420234,-11.2622175,correct,True,-7.8420234,-22.524435,correct,True,-7.8420234,-16.428272,correct,True,8.34836,30753,[1.386094331741333],[0.5667808055877686],68113,"[-0.6329805850982666, 9.637031555175781]","[-2.2983179092407227, -0.8801787495613098]",-13.124392,-10.452658,incorrect,False,-13.124392,-20.905315,correct,True,-13.124392,-15.143467,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,8.555161,209,[7.742214679718018],[-1.0313223600387573],48128,"[1.1618613004684448, 9.261981964111328]","[0.5961490869522095, -6.072468280792236]",-7.5159817,-9.829206,correct,True,-7.5159817,-19.658413,correct,True,-7.5159817,-14.096334,correct,True,8.496753,21603,[1.5913722515106201],[0.5175521969795227],70933,"[-1.1706689596176147, 9.743165969848633]","[-0.5587952136993408, -4.4292120933532715]",-12.482143,-10.352646,incorrect,False,-12.482143,-20.705292,correct,True,-12.482143,-15.2441845,correct,True,An
