task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,9.118347,16617,[0.14854037761688232],[2.2191174030303955],26596,"[-0.7751315236091614, 2.159827470779419, 2.8473005294799805]","[-2.2178022861480713, -1.8419859409332275, 2.3820080757141113]",-11.078969,-9.930837,incorrect,False,-11.078969,-29.79251,correct,True,-11.078969,-12.002641,correct,True,3.6970015,29756,[-1.0868475437164307],[1.1278620958328247],31880,"[-2.6930220127105713, 2.715324878692627, 2.098785638809204]","[-0.434134840965271, -1.0220069885253906, 2.391794443130493]",-14.38062,-11.497439,incorrect,False,-14.38062,-34.492317,correct,True,-14.38062,-15.986794,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.3885765,7929,[1.844699501991272],[3.9882583618164062],31535,"[-2.3080122470855713, 0.718586802482605, 3.36291766166687]","[0.44849690794944763, 1.2367550134658813, 1.1025540828704834]",-10.394871,-11.282697,correct,True,-10.394871,-33.84809,correct,True,-10.394871,-14.547582,correct,True,9.201706,25552,[-0.267453134059906],[-2.735954761505127],31771,"[-2.631903886795044, 1.2290065288543701, 2.9954299926757812]","[-1.3826919794082642, 0.7047758102416992, 0.8562711477279663]",-12.608042,-11.514839,incorrect,False,-12.608042,-34.544518,correct,True,-12.608042,-14.972492,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,9.272454,353,[3.94704270362854],[2.9366862773895264],27280,"[-0.9436414837837219, 1.0847338438034058, 3.0822317600250244]","[1.9706180095672607, 0.6970282196998596, -0.5818969011306763]",-8.104009,-10.547498,correct,True,-8.104009,-31.642494,correct,True,-8.104009,-12.994693,correct,True,9.447799,31284,[-1.610115647315979],[1.847355842590332],31838,"[-2.4394280910491943, 1.3133703470230103, 2.6828854084014893]","[-1.1790937185287476, 0.19790318608283997, 0.42826879024505615]",-13.990276,-11.406287,incorrect,False,-13.990276,-34.21886,correct,True,-13.990276,-14.819589,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,9.257002,83,[4.531108379364014],[-0.523116409778595],13581,"[0.6091812252998352, 1.1878072023391724, 1.741921305656433]","[-0.09042651951313019, 0.8567920923233032, 1.5629035234451294]",-7.2404613,-10.536357,correct,True,-7.2404613,-31.60907,correct,True,-7.2404613,-11.162388,correct,True,9.10843,25887,[0.1519380509853363],[0.765375554561615],31755,"[-2.292646884918213, 1.1229461431503296, 2.1748883724212646]","[-2.317295551300049, -1.4833722114562988, -0.9268684387207031]",-12.817471,-11.760551,incorrect,False,-12.817471,-35.281654,correct,True,-12.817471,-15.262056,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,9.208825,437,[3.7176032066345215],[4.41514778137207],15893,"[0.4909052550792694, 1.342918872833252, 2.1753616333007812]","[-0.5705862045288086, -0.21767117083072662, 1.987099289894104]",-8.225414,-10.633779,correct,True,-8.225414,-31.901335,correct,True,-8.225414,-11.452112,correct,True,9.084472,24051,[0.42563268542289734],[-0.09482767432928085],31893,"[-2.7503371238708496, 0.3085795044898987, 1.2244062423706055]","[0.9062966704368591, 0.6043429374694824, 1.7053030729293823]",-12.518528,-12.672661,correct,True,-12.518528,-38.017982,correct,True,-12.518528,-15.694498,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,9.052137,72,[5.178652286529541],[2.163620710372925],20618,"[0.17844443023204803, 0.9992716312408447, 2.742206573486328]","[0.47894731163978577, -2.3426833152770996, 2.532090187072754]",-7.0999064,-10.712705,correct,True,-7.0999064,-32.138115,correct,True,-7.0999064,-12.100115,correct,True,9.144276,22589,[0.2552987337112427],[0.12352447211742401],30617,"[-1.4893780946731567, 0.5337309241294861, 1.8680342435836792]","[0.7301434278488159, 0.00251946272328496, 3.2996389865875244]",-12.298023,-11.868942,incorrect,False,-12.298023,-35.606827,correct,True,-12.298023,-14.0427,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,9.118326,49,[5.315880298614502],[1.693480134010315],19537,"[0.3702603876590729, -0.16978836059570312, 3.653508424758911]","[0.8015791177749634, -1.5912096500396729, -0.2629324197769165]",-6.9819603,-10.372632,correct,True,-6.9819603,-31.117897,correct,True,-6.9819603,-11.92758,correct,True,9.246873,20043,[0.26597023010253906],[-0.7963767647743225],28122,"[-0.9127160906791687, 0.35421130061149597, 3.132373571395874]","[0.014905214309692383, -4.531320095062256, 0.12321167439222336]",-11.862293,-11.276866,incorrect,False,-11.862293,-33.830597,correct,True,-11.862293,-13.040979,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,9.120231,34,[5.54240608215332],[2.431959867477417],16902,"[0.7007782459259033, -0.9504095911979675, 3.011091470718384]","[1.2199922800064087, 0.36905157566070557, 2.21895432472229]",-6.8086734,-11.02501,correct,True,-6.8086734,-33.07503,correct,True,-6.8086734,-11.650301,correct,True,9.285295,20335,[0.05931923910975456],[2.235405206680298],27320,"[-0.9017013311386108, -1.9799613952636719, 2.692796468734741]","[0.7159234881401062, -0.9920310378074646, 0.14247667789459229]",-11.85853,-12.494648,correct,True,-11.85853,-37.483944,correct,True,-11.85853,-12.81955,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,8.998059,20,[5.9087982177734375],[-2.5383825302124023],12093,"[1.1694759130477905, -0.6581078767776489, 3.6135194301605225]","[-2.1281604766845703, -2.012723207473755, 2.140841007232666]",-6.3962417,-10.405214,correct,True,-6.3962417,-31.215643,correct,True,-6.3962417,-11.135564,correct,True,9.227176,11532,[1.0926487445831299],[2.2025983333587646],24778,"[-0.4409215748310089, -2.1668055057525635, 2.4498355388641357]","[-0.5893160700798035, 0.6766641736030579, 1.5176520347595215]",-10.933164,-12.352939,correct,True,-10.933164,-37.058815,correct,True,-10.933164,-12.466734,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,9.074063,1059,[3.8939168453216553],[-1.0272773504257202],24134,"[-0.031474437564611435, -1.557865858078003, 4.285032749176025]","[1.9837819337844849, 0.399274617433548, 2.003814935684204]",-8.760838,-11.0071945,correct,True,-8.760838,-33.021584,correct,True,-8.760838,-12.686229,correct,True,9.265249,7604,[1.6336749792099],[-3.8928606510162354],26293,"[-0.5789677500724792, -1.7921174764633179, 2.753661870956421]","[0.5426456928253174, 0.9398912787437439, 2.8029985427856445]",-10.420786,-12.147197,correct,True,-10.420786,-36.44159,correct,True,-10.420786,-12.633429,correct,True,An
