task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,5.343792,39007,[-2.1733624935150146],[-4.1436638832092285],47029,[-2.783944845199585],[-5.455414772033691],-17.717772,-18.328354,correct,True,-17.717772,-18.328354,correct,True,-17.717772,-18.328354,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,4.0854263,79272,[-4.0128397941589355],[2.3172707557678223],96971,[-5.229179859161377],[-3.4287760257720947],-20.168598,-21.384937,correct,True,-20.168598,-21.384937,correct,True,-20.168598,-21.384937,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,5.063259,46277,[-1.803707242012024],[6.804118633270264],106734,[-5.6921586990356445],[1.1318556070327759],-18.252712,-22.141163,correct,True,-18.252712,-22.141163,correct,True,-18.252712,-22.141163,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,4.046496,4814,[3.2939212322235107],[-0.776896059513092],73149,[-2.811563491821289],[-0.26769497990608215],-12.378632,-18.484116,correct,True,-12.378632,-18.484116,correct,True,-12.378632,-18.484116,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,5.440632,5597,[2.7719616889953613],[-4.277815818786621],67213,[-2.82120943069458],[1.071945309638977],-12.393336,-17.986507,correct,True,-12.393336,-17.986507,correct,True,-12.393336,-17.986507,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,5.2802544,13181,[0.8706071376800537],[-3.5281059741973877],50700,[-2.2884409427642822],[-0.35111603140830994],-13.917733,-17.07678,correct,True,-13.917733,-17.07678,correct,True,-13.917733,-17.07678,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,5.205599,40348,[-0.888588547706604],[-3.654899835586548],65513,[-2.2194454669952393],[-1.843920350074768],-16.514559,-17.845415,correct,True,-16.514559,-17.845415,correct,True,-16.514559,-17.845415,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,5.346019,59934,[-2.448686361312866],[0.5653910636901855],69905,[-3.0525758266448975],[0.3414401710033417],-17.770288,-18.374176,correct,True,-17.770288,-18.374176,correct,True,-17.770288,-18.374176,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,6.060502,56604,[-2.05159330368042],[-0.9501466751098633],68118,[-2.6957104206085205],[2.8597588539123535],-17.031075,-17.675192,correct,True,-17.031075,-17.675192,correct,True,-17.031075,-17.675192,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,6.0179853,55006,[-2.2851767539978027],[-3.2253968715667725],37175,[-1.3601430654525757],[-1.4099403619766235],-17.022438,-16.097404,incorrect,False,-17.022438,-16.097404,incorrect,False,-17.022438,-16.097404,incorrect,False
