task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,10.06,43834,[0.448974609375],[-0.94482421875],56199,[0.10992431640625],[-0.11517333984375],-12.34,-12.68,correct,True,-12.34,-12.68,correct,True,-12.34,-12.68,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,10.47,61382,[0.017242431640625],[1.6591796875],60146,[0.056915283203125],[0.2315673828125],-12.74,-12.7,incorrect,False,-12.74,-12.7,incorrect,False,-12.74,-12.7,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,10.53,38975,[0.65283203125],[-0.30517578125],57781,[0.143310546875],[-1.1181640625],-12.13,-12.64,correct,True,-12.13,-12.64,correct,True,-12.13,-12.64,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,10.54,44343,[0.51220703125],[-0.5322265625],73564,[-0.259521484375],[-1.826171875],-12.3,-13.07,correct,True,-12.3,-13.07,correct,True,-12.3,-13.07,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,10.516,52045,[0.234375],[2.525390625],96006,[-1.0283203125],[-0.438720703125],-12.555,-13.82,correct,True,-12.555,-13.82,correct,True,-12.555,-13.82,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,10.414,17569,[1.509765625],[1.0791015625],98261,[-1.140625],[-0.462646484375],-11.37,-14.016,correct,True,-11.37,-14.016,correct,True,-11.37,-14.016,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,10.414,13733,[1.7861328125],[0.6484375],101813,[-1.2392578125],[2.12109375],-11.13,-14.16,correct,True,-11.13,-14.16,correct,True,-11.13,-14.16,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,10.47,11150,[1.919921875],[-0.0262603759765625],76289,[-0.411376953125],[-0.1566162109375],-10.94,-13.27,correct,True,-10.94,-13.27,correct,True,-10.94,-13.27,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,10.52,12204,[1.728515625],[-0.56103515625],74553,[-0.441650390625],[2.984375],-11.016,-13.19,correct,True,-11.016,-13.19,correct,True,-11.016,-13.19,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,10.55,18812,[1.40625],[3.330078125],32518,[0.833984375],[2.330078125],-11.39,-11.96,correct,True,-11.39,-11.96,correct,True,-11.39,-11.96,correct,True
