task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,7.7729197,28629,[-9.653992652893066],[-29.88178253173828],30942,[-9.859222412109375],[-29.352094650268555],-13.269512,-13.474741,correct,True,-13.269512,-13.474741,correct,True,-13.269512,-13.474741,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,5.8195915,26170,[-12.803322792053223],[-20.54342269897461],27504,[-12.95042610168457],[-23.02338218688965],-14.394841,-14.5419445,correct,True,-14.394841,-14.5419445,correct,True,-14.394841,-14.5419445,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,5.55555,17877,[-14.030319213867188],[-37.3839111328125],21577,[-14.47305965423584],[-32.86613845825195],-13.778639,-14.221379,correct,True,-13.778639,-14.221379,correct,True,-13.778639,-14.221379,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,4.322425,14364,[-16.658586502075195],[-21.8663272857666],14474,[-16.6738224029541],[-21.008737564086914],-14.178697,-14.193933,correct,True,-14.178697,-14.193933,correct,True,-14.178697,-14.193933,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,4.114604,14667,[-17.94699478149414],[-23.160337448120117],14102,[-17.857341766357422],[-25.285938262939453],-14.413743,-14.32409,incorrect,False,-14.413743,-14.32409,incorrect,False,-14.413743,-14.32409,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,3.9649959,9087,[-19.390295028686523],[-20.343217849731445],10160,[-19.613826751708984],[-16.56019401550293],-13.579848,-13.80338,correct,True,-13.579848,-13.80338,correct,True,-13.579848,-13.80338,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,4.175431,9809,[-20.463768005371094],[-17.09746551513672],9220,[-20.34258270263672],[-14.239678382873535],-13.839802,-13.7186165,incorrect,False,-13.839802,-13.7186165,incorrect,False,-13.839802,-13.7186165,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,4.6233187,11258,[-20.779415130615234],[-25.809715270996094],8424,[-20.173437118530273],[-20.31770896911621],-14.023161,-13.417183,incorrect,False,-14.023161,-13.417183,incorrect,False,-14.023161,-13.417183,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,4.578582,9871,[-22.990318298339844],[3.508821964263916],4919,[-21.671890258789062],[3.0254557132720947],-14.018181,-12.699753,incorrect,False,-14.018181,-12.699753,incorrect,False,-14.018181,-12.699753,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,4.089508,6533,[-20.544523239135742],[-28.93722915649414],3264,[-19.369665145874023],[-29.106006622314453],-13.408301,-12.233443,incorrect,False,-13.408301,-12.233443,incorrect,False,-13.408301,-12.233443,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,4.089309,7630,[-23.268651962280273],[-13.522006034851074],4395,[-22.168489456176758],[-10.981447219848633],-14.149858,-13.049696,incorrect,False,-14.149858,-13.049696,incorrect,False,-14.149858,-13.049696,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,3.194852,7058,[-23.671730041503906],[-21.721004486083984],3477,[-22.2773380279541],[-17.165952682495117],-14.848152,-13.45376,incorrect,False,-14.848152,-13.45376,incorrect,False,-14.848152,-13.45376,incorrect,False
