task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,3.9526424,23066,[-7.644294738769531],[-24.09832000732422],17616,[-6.885535717010498],[-21.494184494018555],-16.467665,-15.708905,incorrect,False,-16.467665,-15.708905,incorrect,False,-16.467665,-15.708905,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,2.90907,23000,[-10.443686485290527],[-14.293684005737305],16257,[-9.360015869140625],[-17.23908233642578],-18.735565,-17.651894,incorrect,False,-18.735565,-17.651894,incorrect,False,-18.735565,-17.651894,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,2.6169431,12810,[-11.127239227294922],[-20.153871536254883],11009,[-10.748222351074219],[-18.50433921813965],-17.489733,-17.110716,incorrect,False,-17.489733,-17.110716,incorrect,False,-17.489733,-17.110716,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,2.246348,14769,[-13.457242965698242],[-13.280868530273438],11862,[-12.864027976989746],[-14.432809829711914],-18.068726,-17.475512,incorrect,False,-18.068726,-17.475512,incorrect,False,-18.068726,-17.475512,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,1.9691873,10137,[-13.82712173461914],[-16.195507049560547],9629,[-13.6965913772583],[-24.33307456970215],-16.815899,-16.68537,incorrect,False,-16.815899,-16.68537,incorrect,False,-16.815899,-16.68537,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,2.1570148,2097,[-15.147287368774414],[-15.238536834716797],5584,[-17.190710067749023],[-15.212271690368652],-14.971008,-17.014431,correct,True,-14.971008,-17.014431,correct,True,-14.971008,-17.014431,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,2.3213115,412,[-16.070438385009766],[-29.72532844543457],1326,[-18.01207733154297],[-27.99237823486328],-10.909692,-12.851331,correct,True,-10.909692,-12.851331,correct,True,-10.909692,-12.851331,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,1.6639423,417,[-20.469587326049805],[-24.52678680419922],887,[-21.75477409362793],[-19.697298049926758],-11.573573,-12.85876,correct,True,-11.573573,-12.85876,correct,True,-11.573573,-12.85876,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,2.859516,232,[-22.596010208129883],[-15.596104621887207],190,[-22.20165252685547],[-19.103687286376953],-9.376076,-8.981718,incorrect,False,-9.376076,-8.981718,incorrect,False,-9.376076,-8.981718,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,0.8365481,2,[-21.289249420166016],[-95.3109359741211],5,[-22.232959747314453],[-95.68888092041016],-3.4892821,-4.4329925,correct,True,-3.4892821,-4.4329925,correct,True,-3.4892821,-4.4329925,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,3.3867197,2,[-58.74177551269531],[-118.68697357177734],4,[-59.56268310546875],[-116.20449829101562],-2.3433425,-3.1642501,correct,True,-2.3433425,-3.1642501,correct,True,-2.3433425,-3.1642501,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,6.0450416,17,[-102.60470581054688],,10,[-101.95258331298828],,-4.7933865,-4.141264,incorrect,False,-4.7933865,-4.141264,incorrect,False,-4.7933865,-4.141264,incorrect,False
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,0,3.5832653,12743,"[-7.854852199554443, 12.437482833862305]","[-16.452707290649414, -50.26241683959961]",31967,"[-10.573837280273438, 11.070603370666504, -1.0218453407287598]","[-14.528721809387207, -28.40056800842285, -26.38145637512207]",-10.033557,-10.943779,correct,True,-20.067114,-32.831337,correct,True,-15.139426,-17.858412,correct,True
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,1,2.7360034,9298,"[-9.14003849029541, 1.6606700420379639]","[-16.684444427490234, -11.354772567749023]",22895,"[-11.624954223632812, 4.73429536819458, -6.330366611480713]","[-17.345169067382812, -29.394731521606445, -14.902080535888672]",-10.897326,-10.018695,incorrect,False,-21.794653,-30.056084,correct,True,-16.32113,-18.806046,correct,True
capitals-recall,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,The capital of Brazil is,2,2.5750318,6408,"[-10.367729187011719, 0.8006886839866638]","[-9.852537155151367, -15.304015159606934]",18198,"[-12.91547679901123, -1.5955615043640137, -7.638850688934326]","[-6.261441230773926, -22.648876190185547, -33.21297073364258]",-9.595603,-8.715886,incorrect,False,-19.191206,-26.14766,correct,True,-15.841127,-18.388874,correct,True
