task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,7.826772,9780,[2.0043935775756836],[1.3440905809402466],32607,[-0.06867678463459015],[-0.6812198162078857],-11.69775,-13.770821,correct,True,-11.69775,-13.770821,correct,True,-11.69775,-13.770821,correct,True,6.0879145,28090,[0.22265565395355225],[-1.0218923091888428],57316,[-1.7092925310134888],[-1.306100606918335],-14.24725,-16.179197,correct,True,-14.24725,-16.179197,correct,True,-14.24725,-16.179197,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,6.0740223,11957,[2.264129638671875],[-2.105977773666382],43859,[-0.523537278175354],[-2.7301366329193115],-12.856281,-15.643949,correct,True,-12.856281,-15.643949,correct,True,-12.856281,-15.643949,correct,True,9.535965,71855,[-1.0029712915420532],[2.3413002490997314],79835,[-1.3318095207214355],[1.7829868793487549],-14.032166,-14.361004,correct,True,-14.032166,-14.361004,correct,True,-14.032166,-14.361004,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,7.127492,36723,[0.29865217208862305],[-0.15481635928153992],71737,[-1.8689624071121216],[1.7686045169830322],-14.890028,-17.057642,correct,True,-14.890028,-17.057642,correct,True,-14.890028,-17.057642,correct,True,9.556661,71316,[-0.9675509929656982],[-0.10123514384031296],79407,[-1.3003379106521606],[-0.5913919806480408],-14.007196,-14.339983,correct,True,-14.007196,-14.339983,correct,True,-14.007196,-14.339983,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,7.39375,31351,[0.16348929703235626],[-0.34064218401908875],43227,[-0.6451926827430725],[-3.5755786895751953],-14.33604,-15.144722,correct,True,-14.33604,-15.144722,correct,True,-14.33604,-15.144722,correct,True,9.6748905,70537,[-0.9262851476669312],[-0.9983209371566772],78836,[-1.2674974203109741],[-2.421212911605835],-13.968969,-14.310182,correct,True,-13.968969,-14.310182,correct,True,-13.968969,-14.310182,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,6.799778,36721,[0.001319033675827086],[5.272265911102295],71215,[-2.1082763671875],[7.149735450744629],-14.9382305,-17.047825,correct,True,-14.9382305,-17.047825,correct,True,-14.9382305,-17.047825,correct,True,9.711895,71048,[-0.9291543364524841],[4.283446311950684],79746,[-1.2878162860870361],[4.6933393478393555],-13.984659,-14.343321,correct,True,-13.984659,-14.343321,correct,True,-13.984659,-14.343321,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,6.7165637,9715,[2.2562615871429443],[3.0407657623291016],16921,[1.2927297353744507],[3.1353495121002197],-12.310074,-13.273607,correct,True,-12.310074,-13.273607,correct,True,-12.310074,-13.273607,correct,True,9.725008,69653,[-0.8583948016166687],[2.7048304080963135],78186,[-1.2075352668762207],[-0.0553697869181633],-13.93252,-14.281661,correct,True,-13.93252,-14.281661,correct,True,-13.93252,-14.281661,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,6.4023256,4804,[3.4385790824890137],[3.6645681858062744],8594,[2.5562119483947754],[1.2787281274795532],-11.352171,-12.234537,correct,True,-11.352171,-12.234537,correct,True,-11.352171,-12.234537,correct,True,9.720489,68774,[-0.7862014770507812],[-0.6438877582550049],78636,[-1.1903995275497437],[-0.31315362453460693],-13.901065,-14.305263,correct,True,-13.901065,-14.305263,correct,True,-13.901065,-14.305263,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,6.939957,3130,[4.813688278198242],[-0.9469379186630249],10404,[3.0477209091186523],[-1.9256274700164795],-10.596032,-12.3619995,correct,True,-10.596032,-12.3619995,correct,True,-10.596032,-12.3619995,correct,True,9.749014,68622,[-0.7860444784164429],[-0.5432909727096558],78103,[-1.1743723154067993],[-0.21769452095031738],-13.891584,-14.279913,correct,True,-13.891584,-14.279913,correct,True,-13.891584,-14.279913,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,6.659323,4578,[4.398238658905029],[0.6114043593406677],16721,[2.3699166774749756],[1.8462285995483398],-11.155671,-13.183992,correct,True,-11.155671,-13.183992,correct,True,-11.155671,-13.183992,correct,True,9.772312,68637,[-0.7857180833816528],[-1.1186625957489014],77912,[-1.1661717891693115],[-1.2109582424163818],-13.889012,-14.269466,correct,True,-13.889012,-14.269466,correct,True,-13.889012,-14.269466,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,5.546147,4306,[4.057443141937256],[0.6510374546051025],10651,[2.7091708183288574],[-2.621490240097046],-11.312288,-12.660561,correct,True,-11.312288,-12.660561,correct,True,-11.312288,-12.660561,correct,True,9.778671,68649,[-0.7927679419517517],[-2.6964831352233887],77896,[-1.1723793745040894],[2.3512980937957764],-13.885447,-14.2650585,correct,True,-13.885447,-14.2650585,correct,True,-13.885447,-14.2650585,correct,True,An
