task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,3.3959305,22619,[0.2118406444787979],[2.2816309928894043],64087,[-1.800763726234436],[1.6888446807861328],-13.829492,-15.842096,correct,True,-13.829492,-15.842096,correct,True,-13.829492,-15.842096,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,2.0266747,29547,[1.3301935195922852],[1.763118863105774],76822,[-0.9169144034385681],[4.683326244354248],-14.714277,-16.961384,correct,True,-14.714277,-16.961384,correct,True,-14.714277,-16.961384,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,4.8505554,28796,[2.0950865745544434],[1.429338812828064],25831,[2.2697372436523438],[0.4094068706035614],-13.405649,-13.230998,incorrect,False,-13.405649,-13.230998,incorrect,False,-13.405649,-13.230998,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,8.615373,7622,[2.5074503421783447],[0.9566241502761841],11318,[2.039565324783325],[-2.759270191192627],-10.948252,-11.416137,correct,True,-10.948252,-11.416137,correct,True,-10.948252,-11.416137,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,8.735336,1486,[2.262436628341675],[-2.7776968479156494],20125,[-0.6604540944099426],[-2.5229320526123047],-9.277135,-12.200026,correct,True,-9.277135,-12.200026,correct,True,-9.277135,-12.200026,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,8.529646,10811,[0.09195899963378906],[-0.8359576463699341],42230,[-2.0548434257507324],[1.8523858785629272],-11.413972,-13.560774,correct,True,-11.413972,-13.560774,correct,True,-11.413972,-13.560774,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,8.168196,23718,[-0.38200363516807556],[4.987035274505615],28407,[-0.6755843162536621],[3.4239728450775146],-12.633638,-12.9272175,correct,True,-12.633638,-12.9272175,correct,True,-12.633638,-12.9272175,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,7.336727,2829,[2.3103578090667725],[4.435526371002197],7862,[1.2290056943893433],[2.606065034866333],-10.142212,-11.223564,correct,True,-10.142212,-11.223564,correct,True,-10.142212,-11.223564,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,8.345433,1195,[4.352212905883789],[-1.25050687789917],7891,[2.437422513961792],[0.3187808096408844],-9.123752,-11.038542,correct,True,-9.123752,-11.038542,correct,True,-9.123752,-11.038542,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,8.974894,972,[3.6868226528167725],[4.836190700531006],3461,[2.5412685871124268],[4.99330997467041],-8.881081,-10.026636,correct,True,-8.881081,-10.026636,correct,True,-8.881081,-10.026636,correct,True
