task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,6.277,13121,"[0.03704833984375, 4.43359375, 1.8154296875]","[-0.9462890625, 2.130859375, -0.53173828125]",12666,[0.07958984375],[0.5087890625],-9.445,-11.35,correct,True,-28.34,-11.35,incorrect,False,-11.39,-11.35,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,5.457,16037,"[-0.447998046875, 4.14453125, 0.71484375]","[2.681640625, 1.748046875, 4.76171875]",8487,[0.317626953125],[0.88037109375],-10.22,-11.19,correct,True,-30.66,-11.19,incorrect,False,-11.95,-11.19,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,9.31,3498,"[1.216796875, 3.869140625, 3.939453125]","[-0.5673828125, -0.08135986328125, 0.5126953125]",6683,[0.70068359375],[1.966796875],-8.5,-10.234,correct,True,-25.5,-10.234,incorrect,False,-9.72,-10.234,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,9.375,10740,"[0.5654296875, 2.55859375, 3.150390625]","[-0.6259765625, 2.013671875, -1.70703125]",3307,[1.6435546875],[0.0556640625],-9.22,-9.66,correct,True,-27.66,-9.66,incorrect,False,-10.734,-9.66,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,9.21,13612,"[0.025604248046875, 3.05859375, 1.7685546875]","[3.548828125, -2.513671875, 1.103515625]",4634,[1.2431640625],[2.1796875],-9.836,-9.945,correct,True,-29.52,-9.945,incorrect,False,-11.16,-9.945,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,8.98,1420,"[2.275390625, 1.2158203125, 1.9970703125]","[2.498046875, 0.376708984375, 1.7236328125]",1401,[2.28125],[0.454345703125],-9.69,-9.02,incorrect,False,-29.06,-9.02,incorrect,False,-9.03,-9.02,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,8.984,344,"[3.27734375, 1.248046875, 2.435546875]","[1.6845703125, -1.259765625, -1.720703125]",1619,[2.197265625],[-0.9677734375],-9.336,-9.13,incorrect,False,-28.0,-9.13,incorrect,False,-8.05,-9.13,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,8.87,167,"[3.7890625, 0.51708984375, 1.3681640625]","[2.84375, -1.515625, -0.498779296875]",3639,[1.5126953125],[2.296875],-9.77,-9.84,correct,True,-29.33,-9.84,incorrect,False,-7.57,-9.84,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,8.9,31,"[4.66015625, -0.295166015625, 1.052734375]","[-0.92041015625, -0.99560546875, -0.58203125]",711,[2.458984375],[0.51513671875],-9.53,-8.49,incorrect,False,-28.6,-8.49,incorrect,False,-6.297,-8.49,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.02,73,"[3.828125, -0.73291015625, 0.6962890625]","[1.0947265625, -0.2403564453125, 0.787109375]",667,[2.47265625],[-0.11865234375],-10.07,-8.45,incorrect,False,-30.2,-8.45,incorrect,False,-7.1,-8.45,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,8.875,37,"[4.046875, -0.79443359375, 0.90234375]","[0.9560546875, 1.677734375, -0.294921875]",668,[2.255859375],[-0.10333251953125],-9.9,-8.48,incorrect,False,-29.69,-8.48,incorrect,False,-6.684,-8.48,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,9.016,33,"[4.3125, 0.11395263671875, 0.76953125]","[-2.86328125, 0.73046875, -1.2255859375]",1108,[2.15234375],[1.9150390625],-9.61,-8.836,incorrect,False,-28.84,-8.836,incorrect,False,-6.668,-8.836,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,8.96,406,"[2.837890625, 0.427001953125, 0.3115234375]","[-1.046875, 0.55419921875, -0.0860595703125]",496,[2.7265625],[4.58984375],-10.24,-8.305,incorrect,False,-30.72,-8.305,incorrect,False,-8.195,-8.305,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,8.18,1327,"[2.189453125, 0.63037109375, 0.2548828125]","[3.068359375, 1.9658203125, -0.85546875]",58,[4.34765625],[-0.74951171875],-10.49,-6.984,incorrect,False,-31.47,-6.984,incorrect,False,-9.14,-6.984,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,8.555,292,"[3.255859375, 1.46875, -0.042205810546875]","[-0.75146484375, 0.282958984375, 0.9150390625]",214,[3.51171875],[1.6923828125],-9.98,-7.836,incorrect,False,-29.92,-7.836,incorrect,False,-8.09,-7.836,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,8.1,737,"[2.638671875, 1.5634765625, 0.298095703125]","[4.2890625, -2.71484375, 3.7421875]",133,[3.869140625],[18.015625],-10.02,-7.527,incorrect,False,-30.08,-7.527,incorrect,False,-8.76,-7.527,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,3.006,135,"[4.36328125, 0.364990234375, 1.3984375]","[4.35546875, 4.01171875, 4.53515625]",3,[11.625],[8.6484375],-10.18,-2.049,incorrect,False,-30.55,-2.049,incorrect,False,-9.34,-2.049,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,1.746,47,"[5.61328125, 2.056640625, 2.478515625]","[-3.5390625, 2.435546875, 0.54150390625]",3,[13.75],[-6.80859375],-9.61,-2.004,incorrect,False,-28.81,-2.004,incorrect,False,-10.164,-2.004,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,4.45,154,"[4.125, 2.73828125, 2.431640625]","[0.75634765625, 5.00390625, 5.1328125]",2,[10.765625],[4.3203125],-8.91,-1.848,incorrect,False,-26.72,-1.848,incorrect,False,-8.49,-1.848,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,4.312,260,"[3.966796875, 4.109375, 3.75]","[1.5361328125, 2.13671875, 0.338623046875]",2,[11.109375],[3.431640625],-8.39,-1.907,incorrect,False,-25.16,-1.907,incorrect,False,-9.055,-1.907,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,3.365,242,"[4.03125, 4.234375, 3.236328125]","[2.361328125, 3.650390625, 0.17431640625]",3,[10.9921875],[8.3125],-8.92,-2.54,incorrect,False,-26.78,-2.54,incorrect,False,-9.51,-2.54,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,2.855,228,"[4.35546875, 4.74609375, 3.13671875]","[3.58984375, 7.7890625, 2.751953125]",2,[12.453125],[11.1875],-8.875,-1.572,incorrect,False,-26.62,-1.572,incorrect,False,-9.69,-1.572,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,2.0,191,"[4.91796875, 6.3203125, 3.810546875]","[2.810546875, 4.79296875, 7.17578125]",1,[14.3359375],[6.05078125],-8.5,-0.996,incorrect,False,-25.5,-0.996,incorrect,False,-10.44,-0.996,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,23,1.818,172,"[5.21875, 6.9921875, 5.53125]","[5.7578125, 6.08984375, 5.55859375]",2,[14.625],[14.0234375],-8.23,-1.195,incorrect,False,-24.69,-1.195,incorrect,False,-10.625,-1.195,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,24,1.381,75,"[6.3671875, 7.921875, 6.78125]","[8.265625, 5.34375, 4.50390625]",1,[17.15625],[9.8515625],-8.12,-0.821,incorrect,False,-24.34,-0.821,incorrect,False,-11.6,-0.821,incorrect,False
