item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,9.416136,105460,[-1.158569097518921],[0.8548198938369751],20435,[2.471445322036743],[1.9612575769424438],-15.505005,-11.87499,incorrect,False,-15.505005,-11.87499,incorrect,False,-15.505005,-11.87499,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,8.98148,93773,[-0.17380408942699432],[0.9614270329475403],23761,[2.8662099838256836],[-0.3899436593055725],-15.333065,-12.293051,incorrect,False,-15.333065,-12.293051,incorrect,False,-15.333065,-12.293051,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,7.981995,75071,[0.4331636130809784],[-0.17418284714221954],41605,[1.7556442022323608],[1.5655032396316528],-14.575544,-13.253064,incorrect,False,-14.575544,-13.253064,incorrect,False,-14.575544,-13.253064,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,9.380683,75172,[0.20086334645748138],[-0.26411694288253784],28301,[2.105417251586914],[-2.3398027420043945],-14.283383,-12.378829,incorrect,False,-14.283383,-12.378829,incorrect,False,-14.283383,-12.378829,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,9.50313,69630,[0.0035897651687264442],[3.6454598903656006],62150,[0.28185924887657166],[1.6641608476638794],-13.925455,-13.647184,incorrect,False,-13.925455,-13.647184,incorrect,False,-13.925455,-13.647184,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,9.696255,17227,[1.949389100074768],[-2.421510696411133],31765,[1.1468991041183472],[-1.1774792671203613],-11.567915,-12.370405,correct,True,-11.567915,-12.370405,correct,True,-11.567915,-12.370405,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,9.537722,61573,[0.17281556129455566],[1.642865538597107],59322,[0.2559545636177063],[1.1668428182601929],-13.672539,-13.589399,incorrect,False,-13.672539,-13.589399,incorrect,False,-13.672539,-13.589399,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,9.577917,26131,[1.2331430912017822],[0.06022955849766731],30686,[0.9950170516967773],[1.598356008529663],-12.174,-12.412127,correct,True,-12.174,-12.412127,correct,True,-12.174,-12.412127,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,9.586602,28191,[1.217962622642517],[0.43902966380119324],16610,[1.9283044338226318],[-3.5817887783050537],-12.2796955,-11.569353,incorrect,False,-12.2796955,-11.569353,incorrect,False,-12.2796955,-11.569353,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,9.598507,23128,[1.2666940689086914],[-0.5817024111747742],63520,[-0.48466718196868896],[-1.0095452070236206],-12.001558,-13.752919,correct,True,-12.001558,-13.752919,correct,True,-12.001558,-13.752919,correct,True,gender
