task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,9.075333,10060,[-0.2931472659111023],[-2.3002662658691406],4578,[0.5711784958839417],[-1.208266019821167],-10.977901,-10.113575,incorrect,False,-10.977901,-10.113575,incorrect,False,-10.977901,-10.113575,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,9.471388,17836,[-1.1806188821792603],[-1.1825693845748901],8034,[-0.20002493262290955],[-0.525458812713623],-11.528673,-10.5480795,incorrect,False,-11.528673,-10.5480795,incorrect,False,-11.528673,-10.5480795,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,9.409662,16226,[-1.1873607635498047],[-1.4822924137115479],7404,[-0.2596529424190521],[-1.4128894805908203],-11.4312725,-10.503565,incorrect,False,-11.4312725,-10.503565,incorrect,False,-11.4312725,-10.503565,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,9.433964,15724,[-1.2420915365219116],[-0.5379084348678589],7957,[-0.43235450983047485],[-3.959629535675049],-11.374556,-10.564819,incorrect,False,-11.374556,-10.564819,incorrect,False,-11.374556,-10.564819,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,9.334418,14631,[-1.1793465614318848],[-4.005218505859375],11057,[-0.8278566598892212],[0.04082974046468735],-11.349973,-10.998483,incorrect,False,-11.349973,-10.998483,incorrect,False,-11.349973,-10.998483,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.240112,19760,[-1.5697200298309326],[0.5441250801086426],10885,[-0.7413350343704224],[-0.2664903700351715],-11.858107,-11.029721,incorrect,False,-11.858107,-11.029721,incorrect,False,-11.858107,-11.029721,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.198181,18528,[-1.3865071535110474],[-1.946468472480774],11224,[-0.7054916620254517],[0.7563763856887817],-11.766916,-11.085901,incorrect,False,-11.766916,-11.085901,incorrect,False,-11.766916,-11.085901,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,9.061432,20437,[-1.5251295566558838],[2.310548782348633],10033,[-0.5115864872932434],[0.705744206905365],-12.02619,-11.012647,incorrect,False,-12.02619,-11.012647,incorrect,False,-12.02619,-11.012647,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,8.688286,14251,[-1.028602123260498],[-2.098721504211426],8436,[-0.32707008719444275],[-5.753235340118408],-11.688949,-10.987417,incorrect,False,-11.688949,-10.987417,incorrect,False,-11.688949,-10.987417,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,8.8188,17157,[-1.1565126180648804],[-0.2453411966562271],14753,[-0.9336337447166443],[-2.0713484287261963],-11.887009,-11.66413,incorrect,False,-11.887009,-11.66413,incorrect,False,-11.887009,-11.66413,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,8.774128,15059,[-1.0557053089141846],[3.358189582824707],15636,[-1.1161391735076904],[2.7401962280273438],-11.737046,-11.797481,correct,True,-11.737046,-11.797481,correct,True,-11.737046,-11.797481,correct,True
