task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,2.6862593,4422,[-8.984792709350586],[-19.72086524963379],37989,"[-15.175274848937988, 10.873083114624023]","[-24.249223709106445, -5.750497817993164]",-12.614494,-18.704956,correct,True,-12.614494,-37.409912,correct,True,-12.614494,-18.804977,correct,True,7.788976,8553,[-5.3383941650390625],[-8.32031536102295],34267,"[-8.710535049438477, 4.07133150100708]","[-10.703611373901367, 0.6817536354064941]",-11.623762,-16.894978,correct,True,-11.623762,-33.789955,correct,True,-11.623762,-14.995903,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,2.9479108,5643,[-11.650923728942871],[-11.147642135620117],40907,"[-18.69491958618164, 10.765398979187012]","[-21.593629837036133, -20.615571975708008]",-13.26571,-18.051126,correct,True,-13.26571,-36.102253,correct,True,-13.26571,-20.309708,correct,True,7.274384,2915,[-7.655115604400635],[-8.383940696716309],25510,"[-10.287832260131836, 5.924806118011475]","[-10.082669258117676, -18.42790412902832]",-10.420524,-14.527735,correct,True,-10.420524,-29.05547,correct,True,-10.420524,-13.05324,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,4.0340056,1977,[-12.208829879760742],[-32.35017776489258],38502,"[-21.638978958129883, 6.189305782318115]","[-38.86037063598633, -18.152328491210938]",-11.229386,-16.949394,correct,True,-11.229386,-33.89879,correct,True,-11.229386,-20.659534,correct,True,8.462142,2683,[-8.171077728271484],[-8.717240333557129],19191,"[-10.111720085144043, 1.4845879077911377]","[-10.695049285888672, -7.599737167358398]",-10.035088,-11.968026,correct,True,-10.035088,-23.936052,correct,True,-10.035088,-11.97573,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,5.562688,686,[-18.26007652282715],[-1.6693748235702515],31630,"[-28.335054397583008, 3.8484296798706055]","[-4.658916473388672, -2.208514451980591]",-9.091656,-15.184807,correct,True,-9.091656,-30.369614,correct,True,-9.091656,-19.166634,correct,True,8.439986,2692,[-8.203269958496094],[-8.569517135620117],19176,"[-10.146424293518066, 1.3933030366897583]","[-10.532096862792969, -8.315852165222168]",-10.04186,-11.269159,correct,True,-10.04186,-22.538319,correct,True,-10.04186,-11.985014,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,5.6311483,186,[-15.4627046585083],[-30.954008102416992],16819,"[-25.107160568237305, 4.142019748687744]","[-33.74584197998047, -19.2215576171875]",-7.21257,-12.742443,correct,True,-7.21257,-25.484886,correct,True,-7.21257,-16.857027,correct,True,8.448355,2665,[-8.221288681030273],[-9.352506637573242],19126,"[-10.165462493896484, 0.8491125106811523]","[-10.859471321105957, -14.729090690612793]",-10.034241,-9.772926,incorrect,False,-10.034241,-19.545853,correct,True,-10.034241,-11.9784155,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,5.364428,142,[-20.805334091186523],[-21.432193756103516],14292,"[-30.112010955810547, 2.065889835357666]","[-16.796419143676758, -6.516475677490234]",-7.054844,-12.076726,correct,True,-7.054844,-24.153452,correct,True,-7.054844,-16.36152,correct,True,8.472128,2654,[-8.256064414978027],[-10.314983367919922],18931,"[-10.187079429626465, -0.8536355495452881]","[-11.990350723266602, 0.8393206596374512]",-10.02522,-8.862641,incorrect,False,-10.02522,-17.725283,correct,True,-10.02522,-11.956236,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,4.5844135,163,[-23.18654441833496],[-8.8691987991333],6506,"[-30.3843936920166, 1.6265056133270264]","[-5.286225318908691, -12.169259071350098]",-7.519364,-11.461198,correct,True,-7.519364,-22.922396,correct,True,-7.519364,-14.717213,correct,True,8.484837,2649,[-8.294052124023438],[-15.266107559204102],18900,"[-10.220667839050293, 0.16482114791870117]","[-16.521608352661133, -9.020483016967773]",-10.021842,-8.414996,incorrect,False,-10.021842,-16.829992,correct,True,-10.021842,-11.948458,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,3.245839,307,[-21.057544708251953],[-15.636078834533691],3255,"[-25.558713912963867, -0.09229614585638046]","[-14.849997520446777, -13.486465454101562]",-8.938171,-9.928866,correct,True,-8.938171,-19.857733,correct,True,-8.938171,-13.439341,correct,True,8.4895935,2641,[-8.37351131439209],[-24.19795036315918],18777,"[-10.292800903320312, -0.8872741460800171]","[-27.01580047607422, -4.433928489685059]",-10.020193,-7.827775,incorrect,False,-10.020193,-15.65555,correct,True,-10.020193,-11.939484,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,1.4927862,34,[-21.088027954101562],[-8.326045989990234],256,"[-24.281145095825195, -2.0944013595581055]","[-8.959358215332031, -4.218626499176025]",-7.293408,-7.68562,correct,True,-7.293408,-15.37124,correct,True,-7.293408,-10.486526,correct,True,8.484074,2634,[-8.495967864990234],[-52.693538665771484],18871,"[-10.422737121582031, -1.0537569522857666]","[-54.978126525878906, -15.390271186828613]",-10.019963,-7.373869,incorrect,False,-10.019963,-14.747738,correct,True,-10.019963,-11.9467325,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,1.8160648,14,[-17.62895393371582],[-83.64395141601562],74,"[-20.051158905029297, -1.9059556722640991]","[-84.68624877929688, -69.01757049560547]",-5.8378468,-5.4032197,incorrect,False,-5.8378468,-10.806439,correct,True,-5.8378468,-8.260052,correct,True,8.474905,2644,[-8.719184875488281],[-114.65740203857422],18947,"[-10.648518562316895, -3.6663362979888916]","[-116.35469055175781, -66.98271179199219]",-10.024558,-6.8831,incorrect,False,-10.024558,-13.7662,correct,True,-10.024558,-11.953891,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,2.5965886,6,[-47.784339904785156],[-103.06526184082031],27,"[-49.67106628417969, -27.042919158935547]","[-103.54959869384766, -105.77784729003906]",-4.2258687,-3.507881,incorrect,False,-4.2258687,-7.015762,correct,True,-4.2258687,-6.112595,correct,True,8.450191,2671,[-9.4361572265625],[-10.834943771362305],18890,"[-11.366412162780762, -27.429067611694336]","[-12.048378944396973, -81.53123474121094]",-10.033121,-6.527739,incorrect,False,-10.033121,-13.055478,correct,True,-10.033121,-11.963376,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,6.6573405,5,[-91.23787689208984],,21,"[-92.29774475097656, -69.3266830444336]",,-4.2086315,-2.7965932,incorrect,False,-4.2086315,-5.5931864,correct,True,-4.2086315,-5.2684994,correct,True,8.7396755,5281,[-32.862953186035156],,28513,"[-34.751922607421875, -55.78786849975586]",,-10.547586,-6.5973153,incorrect,False,-10.547586,-13.194631,correct,True,-10.547586,-12.436555,correct,True,An
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,0,2.944255,27618,[-12.728670120239258],[-19.549043655395508],2696,[-7.505629539489746],[-16.702747344970703],-16.891384,-11.6683445,incorrect,False,-16.891384,-11.6683445,incorrect,False,-16.891384,-11.6683445,incorrect,False,7.8352985,29680,[-6.443759918212891],[-11.147001266479492],14462,[-4.6362762451171875],[-9.264816284179688],-14.336423,-12.528939,incorrect,False,-14.336423,-12.528939,incorrect,False,-14.336423,-12.528939,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,1,2.7492874,26773,[-15.035743713378906],[-6.767545700073242],2541,[-9.288373947143555],[-7.3813347816467285],-17.637676,-11.8903055,incorrect,False,-17.637676,-11.8903055,incorrect,False,-17.637676,-11.8903055,incorrect,False,7.1938124,24556,[-10.188389778137207],[-10.346014976501465],5376,[-8.299351692199707],[-8.871325492858887],-13.02862,-11.139582,incorrect,False,-13.02862,-11.139582,incorrect,False,-13.02862,-11.139582,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,2,4.721897,10937,[-13.458300590515137],[-31.056392669677734],1026,[-8.72874641418457],[-24.788312911987305],-14.644187,-9.914633,incorrect,False,-14.644187,-9.914633,incorrect,False,-14.644187,-9.914633,incorrect,False,8.425602,23412,[-10.301883697509766],[-10.7742338180542],4691,[-8.696980476379395],[-9.194228172302246],-12.192173,-10.587269,incorrect,False,-12.192173,-10.587269,incorrect,False,-12.192173,-10.587269,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,3,5.7702017,5417,[-19.07147979736328],[-9.765995979309082],154,[-13.26718807220459],[-7.213893890380859],-12.73619,-6.931898,incorrect,False,-12.73619,-6.931898,incorrect,False,-12.73619,-6.931898,incorrect,False,8.413478,23347,[-10.334756851196289],[-10.773858070373535],4691,[-8.731525421142578],[-9.127115249633789],-12.194007,-10.5907755,incorrect,False,-12.194007,-10.5907755,incorrect,False,-12.194007,-10.5907755,incorrect,False,A
