task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,9.437298,36695,[0.31582316756248474],[1.9228612184524536],61953,[-0.6171296238899231],[-0.7938361167907715],-12.566822,-13.499775,correct,True,-12.566822,-13.499775,correct,True,-12.566822,-13.499775,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,9.539157,29243,[1.5106160640716553],[-0.649638831615448],91892,[-0.9063531160354614],[-0.13261091709136963],-12.302391,-14.71936,correct,True,-12.302391,-14.71936,correct,True,-12.302391,-14.71936,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,9.427498,57590,[0.7226772308349609],[-0.8836486339569092],95221,[-0.7303357124328613],[-1.498018741607666],-13.523163,-14.976175,correct,True,-13.523163,-14.976175,correct,True,-13.523163,-14.976175,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,8.729439,79268,[-0.22716011106967926],[-0.7195679545402527],107687,[-1.5943716764450073],[4.725265026092529],-14.575845,-15.943056,correct,True,-14.575845,-15.943056,correct,True,-14.575845,-15.943056,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,8.85203,85506,[-0.6645205020904541],[0.5585818290710449],23326,[1.964303731918335],[-1.6059311628341675],-14.83612,-12.207295,incorrect,False,-14.83612,-12.207295,incorrect,False,-14.83612,-12.207295,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.386692,70421,[-0.2714788317680359],[3.592960834503174],41648,[0.8304521441459656],[1.5518625974655151],-14.129837,-13.027906,incorrect,False,-14.129837,-13.027906,incorrect,False,-14.129837,-13.027906,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.13345,18401,[2.0368611812591553],[-1.2746001482009888],23647,[1.6986446380615234],[0.17768684029579163],-11.871956,-12.210173,correct,True,-11.871956,-12.210173,correct,True,-11.871956,-12.210173,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,9.255902,28620,[1.1242173910140991],[-1.0642008781433105],19344,[1.6530518531799316],[-0.9132363796234131],-12.402502,-11.873668,incorrect,False,-12.402502,-11.873668,incorrect,False,-12.402502,-11.873668,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,9.18637,52682,[0.44061532616615295],[2.7671966552734375],38403,[1.0049082040786743],[-0.6556424498558044],-13.463516,-12.899223,incorrect,False,-13.463516,-12.899223,incorrect,False,-13.463516,-12.899223,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.726995,19053,[1.833864450454712],[-3.3365325927734375],45308,[0.5509679317474365],[-4.054079055786133],-11.711883,-12.994779,correct,True,-11.711883,-12.994779,correct,True,-11.711883,-12.994779,correct,True
