item_id,unique_id,input,syllogism_name,initial_prompt,order_first,is_realistic,is_nonsense,is_consistent,tags,syllogism_condition,is_valid,prefix,correct,incorrect,incorrect_is_intuitive,task
0,librarians_happy_healthy^consistent^valid,"Argument:
Some librarians are happy people.
All happy people are healthy people.
Conclusion: Some librarians are healthy people.
Answer:",librarians_happy_healthy,none,1,True,False,True,"['realistic', 'consistent']",consistent,True,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
Some librarians are happy people.
All happy people are healthy people.
Conclusion: Some librarians are healthy people.
Answer: The argument is",valid,invalid,False,syllogism
1,librarians_happy_healthy^consistent^valid,"Argument:
All happy people are healthy people.
Some librarians are happy people.
Conclusion: Some librarians are healthy people.
Answer:",librarians_happy_healthy,none,2,True,False,True,"['realistic', 'consistent']",consistent,True,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
All happy people are healthy people.
Some librarians are happy people.
Conclusion: Some librarians are healthy people.
Answer: The argument is",valid,invalid,False,syllogism
2,librarians_happy_healthy^consistent^invalid,"Argument:
All librarians are happy people.
Some happy people are healthy people.
Conclusion: Some librarians are healthy people.
Answer:",librarians_happy_healthy,none,1,True,False,True,"['realistic', 'consistent']",consistent,False,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
All librarians are happy people.
Some happy people are healthy people.
Conclusion: Some librarians are healthy people.
Answer: The argument is",invalid,valid,True,syllogism
3,librarians_happy_healthy^consistent^invalid,"Argument:
Some happy people are healthy people.
All librarians are happy people.
Conclusion: Some librarians are healthy people.
Answer:",librarians_happy_healthy,none,2,True,False,True,"['realistic', 'consistent']",consistent,False,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
Some happy people are healthy people.
All librarians are happy people.
Conclusion: Some librarians are healthy people.
Answer: The argument is",invalid,valid,True,syllogism
4,librarians_happy_healthy^violate^valid,"Argument:
All healthy people are happy people.
All happy people are librarians.
Conclusion: All healthy people are librarians.
Answer:",librarians_happy_healthy,none,1,True,False,False,"['realistic', 'inconsistent']",violate,True,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
All healthy people are happy people.
All happy people are librarians.
Conclusion: All healthy people are librarians.
Answer: The argument is",valid,invalid,True,syllogism
5,librarians_happy_healthy^violate^valid,"Argument:
All happy people are librarians.
All healthy people are happy people.
Conclusion: All healthy people are librarians.
Answer:",librarians_happy_healthy,none,2,True,False,False,"['realistic', 'inconsistent']",violate,True,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
All happy people are librarians.
All healthy people are happy people.
Conclusion: All healthy people are librarians.
Answer: The argument is",valid,invalid,True,syllogism
6,librarians_happy_healthy^violate^invalid,"Argument:
All happy people are healthy people.
All happy people are librarians.
Conclusion: All healthy people are librarians.
Answer:",librarians_happy_healthy,none,1,True,False,False,"['realistic', 'inconsistent']",violate,False,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
All happy people are healthy people.
All happy people are librarians.
Conclusion: All healthy people are librarians.
Answer: The argument is",invalid,valid,False,syllogism
7,librarians_happy_healthy^violate^invalid,"Argument:
All happy people are librarians.
All happy people are healthy people.
Conclusion: All healthy people are librarians.
Answer:",librarians_happy_healthy,none,2,True,False,False,"['realistic', 'inconsistent']",violate,False,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
All happy people are librarians.
All happy people are healthy people.
Conclusion: All healthy people are librarians.
Answer: The argument is",invalid,valid,False,syllogism
8,computers_electronics_expensive^consistent^valid,"Argument:
Some electronics are computers.
All computers are expensive things.
Conclusion: Some electronics are expensive things.
Answer:",computers_electronics_expensive,none,1,True,False,True,"['realistic', 'consistent']",consistent,True,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
Some electronics are computers.
All computers are expensive things.
Conclusion: Some electronics are expensive things.
Answer: The argument is",valid,invalid,False,syllogism
9,computers_electronics_expensive^consistent^valid,"Argument:
All computers are expensive things.
Some electronics are computers.
Conclusion: Some electronics are expensive things.
Answer:",computers_electronics_expensive,none,2,True,False,True,"['realistic', 'consistent']",consistent,True,"In this task, you will have to answer a series of questions. You will have to choose the best answer to complete a sentence, paragraph, or question. Please answer them to the best of your ability.

Please assume that the first two sentences in the argument are true. Determine whether the argument is valid or invalid, that is, whether the conclusion follows from the first two sentences:
Argument:
All computers are expensive things.
Some electronics are computers.
Conclusion: Some electronics are expensive things.
Answer: The argument is",valid,invalid,False,syllogism
