,imagename,subject_acc,subject_rt,subject_zscore_rt,subject,rr_auc,model_acc,final_prob,prob_auc,final_ent
0,0_bicycle_00_bicycle-0011-ILSVRC2012-val-00011821.png,True,0.701272964477539,-0.33202467287390663,subject-01,0.8320568320568317,0,0.000524069473613,0.5526030671899201,0.4111145734786987
1,0_bicycle_00_bicycle-0033-ILSVRC2012-val-00031498.png,True,1.00124216079712,1.091182386065764,subject-01,1.719047619047619,0,0.0906989425420761,0.8875108920037741,0.9060495495796204
2,0_boat_00_boat-0098-ILSVRC2012-val-00047961.png,False,1.00337815284729,1.1013166231839056,subject-01,1.4477564102564102,0,0.0002157096314476,0.7916436404484549,0.861253023147583
3,0_truck_00_truck-0070-ILSVRC2012-val-00021253.png,True,0.914700984954834,0.6805868520614583,subject-01,0.8276307026307023,0,0.0012165333610028,0.3502219670917832,0.0665973126888275
4,0_clock_00_clock-0107-ILSVRC2012-val-00010270.png,True,0.484541893005371,-1.360307558567703,subject-01,5.016666666666666,1,0.9903549551963806,2.7104521021246906,0.0756189674139022
5,0_bicycle_00_bicycle-0032-ILSVRC2012-val-00030070.png,False,1.05477499961853,1.3451695121790095,subject-01,1.1016233766233763,0,0.0037232458125799,0.6878545030485833,1.4177874326705933
6,0_cat_00_cat-0133-ILSVRC2012-val-00023898.png,True,0.512071847915649,-1.2296913931703197,subject-01,3.526190476190476,1,0.825259268283844,1.5369257796555753,0.7609696984291077
7,0_keyboard_00_keyboard-0029-ILSVRC2012-val-00027307.png,True,0.645993947982788,-0.5942965576268828,subject-01,2.828088578088578,1,0.9987152814865112,1.5041631422936912,0.0122570842504501
8,0_clock_00_clock-0082-ILSVRC2012-val-00033627.png,False,0.61384391784668,-0.7468327193269139,subject-01,5.132539682539682,1,0.2558984160423279,1.907524365931749,2.2403676509857178
9,0_clock_00_clock-0128-ILSVRC2012-val-00030987.png,True,0.557603120803833,-1.0136677821728262,subject-01,7.541666666666666,1,0.996514618396759,2.917117353528738,0.0303102545440197
10,0_bottle_00_bottle-0296-ILSVRC2012-val-00044906.png,False,0.761512994766235,-0.046215205136851026,subject-01,7.216666666666666,1,0.3242192566394806,2.3874790370464325,1.9707518815994265
11,0_knife_00_knife-0033-ILSVRC2012-val-00028494.png,False,0.799399852752686,0.13353939763214692,subject-01,0.3825757575757574,0,0.0052397698163986,0.3391821421682828,1.907640814781189
