"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",7.30144557872973,"auc_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","stylized"
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",191.296553566062,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.1360358341899,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0.954193890383067,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.94522153643265,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",130.070165911745,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-1.62015144852148,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",24.5453281435011,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",5.00540150986399,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",173.088567086989,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",5.58782788607141,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","stylized"
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",50.7534568896112,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","stylized"
