"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-3.21652047238717,"auc_entropy","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.51012029751723,"auc_entropy","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_entropy + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.98347709674931,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-3.63729690084165,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.19841666025445,"auc_rank_correct","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-0.0280911797688077,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",0.365102273343609,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.90253532385259,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.32319508829005,"auc_logprob_correct","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.820810987343975,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",6.51145703336033,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",5.55393029730408,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",-2.12416294476407,"auc_logprobdiff_pos","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",-1.83236527416079,"auc_logprobdiff_pos","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",2.06609067738759,"auc_logprobdiff_neg","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_logprobdiff_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",6.88244876479575,"auc_logprobdiff_neg","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",8.94622370336651,"layer_biggest_change_logprobdiff","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_biggest_change_logprobdiff + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",9.03228442937757,"layer_biggest_change_logprobdiff","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_pos + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",1.88004851516075,"auc_boosting_pos","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_pos + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.0806195496772943,"auc_boosting_pos","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_neg + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",5.01777629657499,"auc_boosting_neg","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","auc_boosting_neg + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",5.85432090193262,"auc_boosting_neg","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_argmax_boosting + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",7.86387616057164,"layer_argmax_boosting","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","layer_argmax_boosting + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",0.391929572415393,"layer_argmax_boosting","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","twostage_magnitude + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",5.70524102602735,"twostage_magnitude","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","twostage_magnitude + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",7.4503852947114,"twostage_magnitude","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","twostage_magnitude_latter34 + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",5.98549538509428,"twostage_magnitude_latter34","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","twostage_magnitude_latter34 + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",7.46729769325907,"twostage_magnitude_latter34","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","twostage_layer + output_entropy * output_logprob_correct * output_logprobdiff + (1 | subject_id)",3.94037001931792,"twostage_layer","baseline_final","response_correct","all_trials","Llama-2-7b-hf",NA
"critical_fit","twostage_layer + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct * midpoint_logprobdiff + (1 | subject_id)",1.36549323315535,"twostage_layer","baseline_midpoint","response_correct","all_trials","Llama-2-7b-hf",NA
