"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","auc_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-0.141701798899248,"auc_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","low-pass"
"baseline_midpoint_fit","condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","auc_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",93.3118512307187,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","layer_biggest_change_entropy + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.7203392289648,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","layer_biggest_change_entropy + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.01545572080295,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","auc_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-4.26107342203795,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","auc_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",60.8328264968395,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","layer_biggest_change_rank_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-1.96136201221907,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","layer_biggest_change_rank_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.25335172156429,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","auc_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.16605843693287,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","auc_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",41.8248110902773,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","layer_biggest_change_logprob_correct + condition + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0.909436382762124,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_small_patch16_224","low-pass"
"critical_fit","layer_biggest_change_logprob_correct + condition + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",13.1059309056241,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_small_patch16_224","low-pass"
