"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.74363962857569,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","sketch"
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",64.5957347400977,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.56759186412091,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.31044114111364,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.68808583120676,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",120.252982994884,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-1.69577919782932,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-4.09032328614103,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.28617115396287,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",78.9439450351397,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.85924958024452,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","sketch"
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",23.1312657268231,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","sketch"
