"term","formula","log_BF","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit","output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",0,"baseline_final","baseline_final","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","auc_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",4.00675220176146,"auc_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","edge"
"baseline_midpoint_fit","midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",0,"baseline_midpoint","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","auc_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",1.14894307718657,"auc_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","layer_biggest_change_entropy + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",1.74759144477775,"layer_biggest_change_entropy","baseline_final","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","layer_biggest_change_entropy + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",6.44006584789952,"layer_biggest_change_entropy","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","auc_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.61664239691476,"auc_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","auc_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",8.87442811491496,"auc_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","layer_biggest_change_rank_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-3.14121906161506,"layer_biggest_change_rank_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","layer_biggest_change_rank_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",3.89036569655229,"layer_biggest_change_rank_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","auc_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",-2.62930362974964,"auc_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","auc_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",1.62385396224192,"auc_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","layer_biggest_change_logprob_correct + output_entropy * output_rank_correct * output_logprob_correct + (1 | subject_id)",2.92387954253286,"layer_biggest_change_logprob_correct","baseline_final","response_correct","all_trials","vit_base_patch16_224","edge"
"critical_fit","layer_biggest_change_logprob_correct + midpoint_entropy * midpoint_rank_correct * midpoint_logprob_correct + (1 | subject_id)",-1.81587982610131,"layer_biggest_change_logprob_correct","baseline_midpoint","response_correct","all_trials","vit_base_patch16_224","edge"
