rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore
3519,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,11,287997,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,left,-0.802189861519109
2289,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,13,291289,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0465433403721245
3544,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,True,critical,html-keyboard-response,15,295837,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.7972233273960803
2088,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,17,298928,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.086474274721276
2077,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,False,critical,html-keyboard-response,19,302009,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-1.0886595497354086
4616,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,21,307627,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.5842583442006065
3127,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,23,311757,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-0.8800651165682002
3226,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,True,critical,html-keyboard-response,25,315986,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,0,right,-0.8603976414410062
2929,j,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,27,319918,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,right,-0.919400066822588
1827,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,29,322747,subject_25,67d993866d1d7516d87e97de,67daffc85579c5693bbb7675,0.2876221160821377,1,left,-1.1383248909656962
