subject_id,session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-02,1,1,0.86748194694519,cat,cat,0,cat3.png,True,0.1570656453550379,2.060980796813965,0.1428571428571428,-3.289447271871156,26.71814453601837,10,1.5678571428571426,9,38.78327914546464,6
subject-02,1,2,0.749402046203613,boat,boat,0,boat7.png,True,-0.581642677436923,1.7302122116088867,0.1111111111111111,-4.166390984116675,26.844592213630676,10,1.576068376068376,0,33.47983594685724,1
subject-02,1,3,0.567630052566528,cat,cat,0,cat5.png,True,-1.7188089835305562,2.429201126098633,0.125,-2.8952010424133787,27.000802636146545,4,1.5777777777777775,5,37.986313014952245,6
subject-02,1,4,0.957842826843262,oven,bear,0,bear7.png,False,0.7223636648850222,2.309612274169922,0.1428571428571428,-3.2294244067121665,26.843711495399475,4,0.8256715506715504,9,41.06103896915967,0
subject-02,1,5,0.756158828735352,oven,oven,0,oven9.png,True,-0.5393722193814523,2.2483673095703125,1.0,-1.2884322217262487,26.396540999412537,10,1.5625,10,56.34308968580873,6
subject-02,1,6,0.724565029144287,clock,clock,0,clock1.png,True,-0.7370231537061559,2.2433645725250244,0.5,-1.562516995728287,27.151529669761658,10,7.1,5,20.645560485451515,10
subject-02,1,7,0.928506851196289,bicycle,bicycle,0,bicycle2.png,True,0.5388376860220434,1.3853034973144531,0.25,-2.9734311468053907,26.08545196056366,10,1.3634920634920633,10,35.26877144014558,6
subject-02,1,8,1.12676000595093,elephant,elephant,0,elephant4.png,True,1.7791102007960082,2.508755683898926,0.0833333333333333,-3.5006653899374105,26.993526697158813,4,0.808344433344433,9,42.309597019451076,0
subject-02,1,9,1.13315010070801,knife,knife,0,knife2.png,True,1.8190866586930654,1.7066221237182615,1.0,-0.8366811824241728,26.48217535018921,10,3.858008658008658,8,35.44274962066119,6
subject-02,1,10,0.854978084564209,car,car,0,car4.png,True,0.07884143319135305,2.26035475730896,0.1428571428571428,-3.3053825239460424,27.172925114631653,4,0.5313242313242308,8,49.0042300371709,6
subject-02,1,11,0.783447027206421,clock,clock,0,clock8.png,True,-0.36865714257346754,1.8537448644638064,1.0,-0.6983634724140014,26.470738530158997,10,8.166666666666668,10,18.370988243109174,10
subject-02,1,12,0.751827955245972,elephant,elephant,0,elephant5.png,True,-0.5664661809402933,2.4243130683898926,0.0769230769230769,-3.9003430567093713,27.48831033706665,4,0.6178321678321677,9,42.5898865389706,0
subject-02,1,13,1.07971811294556,airplane,airplane,0,airplane7.png,True,1.4848159333998312,2.055328845977783,0.0909090909090909,-4.221830870060892,27.361029863357544,10,3.2489177489177483,0,29.23289934756777,9
subject-02,1,14,1.37029910087585,knife,boat,0,boat6.png,False,3.3026917351334086,1.2324179410934448,0.0909090909090909,-5.385490541242602,25.882812976837158,10,1.5337051837051836,0,36.18267342360158,1
subject-02,1,15,0.944798946380615,truck,truck,0,truck2.png,True,0.6407610974815418,2.085994243621826,0.1111111111111111,-4.203211087253358,26.535288095474243,10,0.14902319902319858,10,51.92798816411826,6
subject-02,1,16,0.799140930175781,boat,boat,0,boat10.png,True,-0.27047602396016546,2.125213146209717,0.0714285714285714,-4.681877179697494,27.191261410713196,10,1.4545995670995668,1,34.305562887835826,1
subject-02,1,17,0.927725076675415,bicycle,bicycle,0,bicycle3.png,True,0.5339469015490775,2.3003597259521484,0.2,-2.461464416890371,27.167887091636658,4,1.2257326007326004,10,35.38881906730641,6
subject-02,1,18,0.826251029968262,truck,truck,0,truck1.png,True,-0.1008751331849004,1.937269926071167,0.1666666666666666,-3.0404579014245545,26.449774622917175,10,0.23120213120213068,10,50.46063898607922,6
subject-02,1,19,1.07075214385986,keyboard,keyboard,0,keyboard10.png,True,1.4287247955863156,1.2842068672180176,0.25,-3.5103903200214495,25.832661867141724,10,1.4448773448773446,5,42.85731585361261,6
subject-02,1,20,0.725021839141846,boat,boat,0,boat2.png,True,-0.7341653485673292,2.053295850753784,0.0833333333333333,-4.212231912844446,27.4777592420578,10,1.4220238095238094,1,33.48659987181188,1
subject-02,1,21,0.629585981369019,clock,clock,0,clock7.png,True,-1.3312124496134916,2.072568893432617,1.0,-1.0991827485906465,26.479286670684814,10,8.2,10,18.214019936954212,10
subject-02,1,22,0.55188512802124,cat,cat,0,cat2.png,True,-1.8173092933232482,2.16341781616211,0.5,-2.3154370104184463,26.905697345733643,10,2.2027777777777775,8,37.156561171445084,6
