subject_id,session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-02,1,1,1.4882390499115,bear,bear,0,bear3.png,True,2.236266491909835,1.0137547254562378,0.25,-3.670694198298103,27.57740843296051,10,2.480988455988456,9,33.01876456457949,9
subject-02,1,2,0.756563901901245,airplane,airplane,0,airplane2.png,True,-0.9474271300923377,0.9961801171302797,1.0,-0.2685686218960489,27.473564207553864,10,2.8047619047619046,9,34.838213404934585,9
subject-02,1,3,0.708386182785034,cat,cat,0,cat6.png,True,-1.1570599124685181,1.865309476852417,0.3333333333333333,-2.478125791853951,28.640413284301758,10,0.7717032967032962,10,40.21154843142314,8
subject-02,1,4,1.10423302650452,chair,chair,0,chair9.png,True,0.5653644107664637,0.2202668488025665,1.0,-0.0358433490667303,26.345622807741165,10,3.6115440115440114,9,27.734890587484013,9
subject-02,1,5,0.856657028198242,bicycle,bicycle,0,bicycle4.png,True,-0.5118979903305197,1.0075751543045044,1.0,-0.3791899744496963,28.72160565853119,10,6.431818181818182,8,25.93787308192337,10
subject-02,1,6,0.971307039260864,knife,knife,0,knife4.png,True,-0.013028362224150575,0.2539835572242737,1.0,-0.03975429798160286,24.140582263469696,9,7.436111111111111,4,18.641578885997795,5
subject-02,1,7,0.731976985931396,cat,cat,0,cat3.png,True,-1.0544106838877365,0.7396632432937622,0.0833333333333333,-5.098902548956905,26.53859794139862,10,0.28120213120213083,8,45.66316827377532,2
subject-02,1,8,0.606236934661865,bicycle,bicycle,0,bicycle7.png,True,-1.6015357302223996,0.3911542296409607,1.0,-0.0676624190707521,27.088714003562927,9,6.549242424242424,8,22.572351765062233,9
subject-02,1,9,1.05053615570068,truck,truck,0,truck1.png,True,0.33171647894240275,0.050715185701847,0.1428571428571428,-8.360840545292888,24.409981556236744,9,3.3643217893217896,2,42.093280728210196,0
subject-02,1,10,,na,clock,0,clock8.png,False,,0.7496044635772705,1.0,-0.2342430178775599,25.34441602230072,9,3.78003663003663,8,29.426404824680482,6
