subject_id,Session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-02,1,1,1.12876987457275,bottle,bottle,cr,cr_bottle_40_n03983396_2053.png,True,1.8905788900109297,0.0698782503604888,1.0,-0.00831859572628178,25.11572004109621,9,4.665018315018314,7,26.6585691740341,0
subject-02,1,2,1.07644009590149,cat,clock,bw,bw_clock_40_n04548280_7384.png,False,1.6230943386726888,1.354323148727417,1.0,-0.38434458633241436,29.902945280075073,10,4.5317821067821065,7,31.74482833076239,9
subject-02,1,3,0.580382108688354,airplane,airplane,cr,cr_airplane_40_n02690373_1732.png,True,-0.9125144775046652,0.0220701973885297,1.0,-0.0022833766537524226,24.11568977497518,9,5.805866355866356,6,23.36198069418807,3
subject-02,1,4,0.682165861129761,elephant,elephant,cr,cr_elephant_40_n02504013_3485.png,True,-0.3922451003619551,0.0245949942618608,1.0,-0.002551888304971036,23.498931534588337,9,7.142857142857142,1,19.192288371452193,8
subject-02,1,5,0.763950109481812,boat,boat,bw,bw_boat_40_n04273569_517.png,True,0.02579647238022333,0.0999387055635452,1.0,-0.01261546916143276,24.737259283661842,9,7.670634920634921,4,19.910221531835745,9
subject-02,1,6,0.690128087997437,car,car,bw,bw_car_40_n02814533_51154.png,True,-0.3515460426660873,0.2948429882526397,1.0,-0.07654465111195592,24.823677480220795,9,5.092261904761905,6,29.631149038435723,5
subject-02,1,7,0.785551071166992,truck,truck,bw,bw_truck_40_n03417042_2794.png,True,0.1362101544470308,0.0617676191031932,1.0,-0.007324633248137922,25.279753889888525,9,5.926190476190476,7,22.050537510450074,9
subject-02,1,8,0.679475069046021,elephant,elephant,bw,bw_elephant_40_n02504458_7133.png,True,-0.4059991297413872,0.0505290441215038,1.0,-0.00571923650604695,24.03315332904458,9,7.75,1,18.735386198895775,0
subject-02,1,9,0.651214122772217,boat,boat,cr,cr_boat_40_n03662601_8216.png,True,-0.5504554360049994,0.0113183604553341,1.0,-0.0010924940419924736,22.879162878147326,9,6.694444444444445,5,19.439408830094916,4
subject-02,1,10,0.986922979354858,bottle,knife,cr,cr_knife_40_n03041632_94620.png,False,1.1655260789827355,0.0061196107417345,1.0,-0.0005681936561563858,24.950989570468664,9,5.740151515151515,6,24.051368574288333,5
subject-02,1,11,0.886938095092773,elephant,elephant,bw,bw_elephant_40_n02504013_1560.png,True,0.6544516470524887,0.0537577159702777,1.0,-0.0062308909872856345,25.53131041303277,9,5.65,1,23.636152740107764,9
subject-02,1,12,0.970747947692871,chair,chair,bw,bw_chair_40_n03376595_2924.png,True,1.0828471302684994,0.0492772236466407,1.0,-0.005713961226683429,25.74704620614648,9,3.8816239316239316,8,28.258725839782837,9
subject-02,1,13,0.566282987594604,bear,bear,cr,cr_bear_40_n02134418_3846.png,True,-0.9845823741360813,0.0326035432517528,1.0,-0.0035012790952220515,23.832693934440613,9,9.083333333333332,4,16.10624008995535,9
subject-02,1,14,0.928205966949463,chair,chair,bw,bw_chair_40_n03376595_10266.png,True,0.8653930740670311,0.0417863428592681,1.0,-0.004641080396477989,25.469292283058167,9,4.207875457875458,8,26.604394808336888,6
subject-02,1,15,0.564054012298584,boat,boat,bw,bw_boat_40_n04273569_12917.png,True,-0.9959758191713723,0.1027640849351883,1.0,-0.013240041954094967,25.91894169151783,9,5.87063492063492,7,21.44280301630954,9
subject-02,1,16,0.667882919311523,boat,boat,bw,bw_boat_40_n02951358_5952.png,True,-0.46525259974470745,0.061657965183258,1.0,-0.007273598145162436,25.819454580545425,9,5.910714285714286,7,23.008510276265156,9
subject-02,1,17,0.609638929367065,elephant,elephant,bw,bw_elephant_40_n02504013_22388.png,True,-0.7629677423275425,0.0250309612601995,1.0,-0.002613858175383415,24.812229303643107,9,5.825,2,22.66563992018483,9
subject-02,1,18,0.82570481300354,oven,oven,cr,cr_oven_40_n04111531_2342.png,True,0.34145668696484177,0.0076696937903761,1.0,-0.0007023296865743319,21.694491712609306,8,5.298748473748473,6,22.195939900248337,6
subject-02,1,19,0.775241136550903,keyboard,keyboard,bw,bw_keyboard_40_n03085013_6561.png,True,0.0835107487714295,0.1510401368141174,1.0,-0.021092165649797354,25.97944810986519,9,4.9968975468975465,6,25.942445655858865,9
subject-02,1,20,0.47902512550354,boat,boat,cr,cr_boat_40_n02951358_30622.png,True,-1.430602416353095,0.069084882736206,1.0,-0.008493329074291322,23.725097903981805,9,4.994047619047619,8,21.673962151205252,9
subject-02,1,21,0.912889003753662,clock,clock,bw,bw_clock_40_n03196217_5888.png,True,0.7871001568729571,0.0818269774317741,1.0,-0.00999331209014919,25.23744498938322,9,4.471861471861471,7,29.1520810648218,9
subject-02,1,22,0.644771099090576,truck,truck,cr,cr_truck_40_n03417042_7005.png,True,-0.5833890608454946,0.1923276335000991,1.0,-0.02872962051780292,25.76245965063572,9,6.876190476190476,5,21.812568635888923,9
subject-02,1,23,0.621150016784668,clock,clock,bw,bw_clock_40_n04548280_17198.png,True,-0.7041286237320755,0.0856923162937164,1.0,-0.01059034558499721,25.20637235045433,9,4.645670995670995,6,28.530268616265094,9
subject-02,1,24,0.680738925933838,keyboard,keyboard,bw,bw_keyboard_40_n04505470_361.png,True,-0.399538903820746,0.0514636784791946,1.0,-0.00587391047491237,24.338391648605466,9,5.124675324675325,6,25.014850124231394,6
subject-02,1,25,0.766654014587402,airplane,airplane,bw,bw_airplane_40_n02690373_7748.png,True,0.03961752919327553,0.0168951861560344,1.0,-0.0016876386620597508,23.742748875170946,9,7.699999999999999,3,19.71127558135277,3
