model,item_id,condition,entity,correct,intuitive,population_ratio,auc_boost_neg,auc_boost_pos,layer_argmax_boost,output_entropy,output_rank_correct,output_logprob_correct,output_logprobdiff,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,control_auc_entropy,control_layer_biggest_change_entropy,control_auc_rank_correct,control_layer_biggest_change_rank_correct,control_auc_logprob_correct,control_layer_biggest_change_logprob_correct,control_auc_logprobdiff_pos,control_auc_logprobdiff_neg,control_layer_biggest_change_logprobdiff
Llama-2-7b-hf,1,correct_first,Australia,Canberra,Sydney,10.86749482,52.78407408667341,73.13058060337872,26,2.8715534,1.0,-0.9034418,1.8259383000000002,147.963987891,11,6.539005923578243,26,229.1273557535,24,33.8467814865,43.55507931,26,171.39384560000002,15,0.00878897348102904,29,387.55231649999996,8,1.4951824999999985,42.024837999999995,15
Llama-2-7b-hf,1,intuitive_first,Australia,Canberra,Sydney,10.86749482,44.29108965772669,74.80861236400577,26,2.9405658,1.0,-0.9209532,2.4445782,150.600719152,11,7.585433508505039,24,227.05585719959998,19,37.9897083004,34.4960106,26,171.39384560000002,15,0.00878897348102904,29,387.55231649999996,8,1.4951824999999985,42.024837999999995,15
Llama-2-7b-hf,2,correct_first,Brazil,Brasilia,Rio de Janeiro,2.790180361,42.067557139028295,48.09697106903734,23,3.2620602,1.0,-1.1758215,1.4744272999999999,146.88540645,11,8.547664742176359,23,247.55335192,18,30.97493328,55.1737419,19,171.3938569,15,0.0023168989592771885,6,415.115685,30,2.6646320000000046,37.543002,14
Llama-2-7b-hf,2,intuitive_first,Brazil,Brasilia,Rio de Janeiro,2.790180361,40.95303177756501,48.558171556824895,23,3.3789628,1.0,-1.2245771,1.6209515,149.94986145000001,11,8.745085714924414,23,248.40832882,18,30.98331708,54.702489500000006,23,171.3938569,15,0.0023168989592771885,6,415.115685,30,2.6646320000000046,37.543002,14
Llama-2-7b-hf,3,correct_first,Canada,Ottawa,Toronto,4.430716724,19.83267672180989,83.53011873195297,22,3.0267096,1.0,-0.9258203,2.4656877,141.200761628,11,12.102141230901008,19,205.51010455699998,19,82.225303443,11.0964463,22,171.3938569,15,0.01022233048256604,11,364.67423499999995,30,24.272249000000002,13.899700499999998,1
Llama-2-7b-hf,3,intuitive_first,Canada,Ottawa,Toronto,4.430716724,18.229882343594152,86.63662869797847,22,3.0244672,1.0,-0.90289384,2.69337266,141.6476819148,11,12.134903652628628,19,203.1900341506,19,90.2268451494,8.8915076,22,171.3938569,15,0.01022233048256604,11,364.67423499999995,30,24.272249000000002,13.899700499999998,1
Llama-2-7b-hf,4,correct_first,India,New Delhi,Mumbai,107.2815534,28.970781822621976,75.18387993739239,26,2.757491,1.0,-0.8205516,3.3150318,162.88552968,11,4.407253105717815,29,255.12182611999998,21,95.02050778,4.414063999999998,17,171.39384560000002,15,0.026594345201561655,29,361.132218,29,31.11474549999999,8.316113500000002,1
Llama-2-7b-hf,4,intuitive_first,India,New Delhi,Mumbai,107.2815534,22.446574354050192,74.68910689800309,26,2.6214488,1.0,-0.69152755,3.7130611499999997,162.7760687,11,4.870429022159044,28,252.93902209499998,21,99.230274905,4.3506744999999984,18,171.39384560000002,15,0.026594345201561655,29,361.132218,29,31.11474549999999,8.316113500000002,1
Llama-2-7b-hf,5,correct_first,Morrocco,Rabat,Marrakesh,0.5371287129,40.31941308437902,54.000246793931474,21,3.5969086,1.0,-1.1708288,1.1935863999999998,142.10745279,11,8.458738921665992,22,281.052515245,21,67.26170305499998,34.1924937,21,171.3938569,15,0.017947049352147623,10,370.614472,26,10.039977999999998,42.039580300000004,17
Llama-2-7b-hf,5,intuitive_first,Morrocco,Rabat,Marrakesh,0.5371287129,28.800914228591594,72.13545604148821,21,3.0109992,1.0,-0.7593122,2.772129,130.035586303,11,9.707684522052693,22,277.4071656,21,105.1795907,32.661951999999985,16,171.3938569,15,0.017947049352147623,10,370.614472,26,10.039977999999998,42.039580300000004,17
Llama-2-7b-hf,6,correct_first,New Zealand,Wellington,Auckland,3.997663551,45.188788667332226,100.22015134024518,20,3.6772857,1.0,-1.4651423,0.8820428,149.85534112099998,11,10.36073462817961,21,260.77950036360005,20,110.3869948364,21.118614,20,171.3938569,15,0.0013296175224846657,29,461.3469975,6,0.37618999999999936,76.2423852,6
Llama-2-7b-hf,6,intuitive_first,New Zealand,Wellington,Auckland,3.997663551,44.26457643621071,115.8885919244253,20,3.362688,1.0,-1.060565,1.8948727,144.648138814,11,11.023133963359324,20,257.1151076827,20,131.09617701730002,20.627114499999998,20,171.3938569,15,0.0013296175224846657,29,461.3469975,6,0.37618999999999936,76.2423852,6
Llama-2-7b-hf,7,correct_first,Pakistan,Islamabad,Karachi,13.92307692,31.63015227977656,55.863995629022114,21,2.8787577,1.0,-0.7393263,2.6973905,169.67001135,17,8.281298090797847,23,255.34122886900002,21,46.51109113099999,6.439088600000002,18,171.3938569,15,0.004075696988985741,30,411.48363800000004,12,40.9596975,6.7339955000000025,3
Llama-2-7b-hf,7,intuitive_first,Pakistan,Islamabad,Karachi,13.92307692,24.242015138483055,54.35977137089766,21,2.8562276,1.0,-0.70326346,3.18455034,171.07114723,11,8.337778192574593,23,252.781706155,21,52.906214145,4.8859098,18,171.3938569,15,0.004075696988985741,30,411.48363800000004,12,40.9596975,6.7339955000000025,3
Llama-2-7b-hf,8,correct_first,South Africa,Pretoria,Johannesburg,2.133333333,101.47330167328924,96.14264588310164,29,3.3523822,1.0,-1.0039496,2.9558421,146.57556965499998,11,3.768169226354736,28,305.457545226,27,42.612428873999995,110.60673707199999,29,171.39384560000002,15,0.02770292909945606,29,383.2381815,29,53.4142955,1.7409119999999998,29
Llama-2-7b-hf,8,intuitive_first,South Africa,Pretoria,Johannesburg,2.133333333,95.90808187561939,94.18210126809518,27,3.4214284,1.0,-1.0573384,3.1616256,151.151405066,11,4.230219038594715,27,298.749498215,27,43.761463185000004,101.88950340600002,29,171.39384560000002,15,0.02770292909945606,29,383.2381815,29,53.4142955,1.7409119999999998,29
